role,name,location,post_time,description,level,job_type,job_func,industry,url
Stagiaire en certification,MALLETTE Société de comptables professionnels agréés,"Lévis, Quebec, Canada",2023-07-02,"Bien choisir ton stage, c’est bien choisir ta carrière !

Nous t’offrons la possibilité de te développer et de prendre ta place. Tu vises une carrière et un milieu de travail où le leadership, l’intégrité, le respect et l’entraide font partie de ton quotidien ? Deviens MALLETTE !

Solidement implantée au Québec, Mallette compte plus de 1300 employés répartis dans 33 bureaux œuvrant dans différents champs d’expertise professionnelle ce qui en fait le plus grand cabinet comptable 100 % d’appartenance québécoise, occupant le quatrième rang dans la province de Québec et le dixième au Canada. , laissant une grande place à l’initiative et liberté dans la prise de décision. Mallette adopte une hiérarchie très horizontale, un leadership participatif et une gestion qui mise sur la relève et les jeunes talents. Tu occuperas chez nous une place de haute importance.

De plus, l’équipe est grandement réputée pour son ambiance de travail, son dynamisme et ses employés compétents.

Nous sommes actuellement à la recherche de qui se joindront à nos équipes des bureaux de Québec, de Lévis, de Trois-Rivières, de Saint-Georges ou de Montmagny. En plus, lors de ton stage, tu pourrais avoir la chance de découvrir des disciplines complémentaires à la profession des CPA, telles la fiscalité, les services-conseils, l’actuariat et autres champs d’expertise. Tu pourrais également effectuer diverses tâches comptables pour supporter nos clients.

















Consulte notre site Web et envoie-nous ta lettre de présentation, ton curriculum vitae et ton dernier relevé de notes par courriel ( recrutement@mallette.ca ) à l’attention de

. N’oublie pas d’indiquer le numéro de référence ainsi que le bureau où tu aimerais faire ton stage.",Entry level,Full-time,Information Technology,Financial Services,https://ca.linkedin.com/jobs/view/stagiaire-en-certification-at-mallette-soci%C3%A9t%C3%A9-de-comptables-professionnels-agr%C3%A9%C3%A9s-3677942005?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=YjIlUO8Ty5BHRXY15oPo8A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Stagiaire en génie minier - Hiver 2024,BBA Consultants,"Québec, Quebec, Canada",2023-08-31,,,,,,https://ca.linkedin.com/jobs/view/stagiaire-en-g%C3%A9nie-minier-hiver-2024-at-bba-consultants-3709572907?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=h9kDSDK3xWCt3ub38fOwtg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
"Co-Op/Intern Cloud Engineer, Observability",Kinaxis,"Québec, Quebec, Canada",2023-09-01,"At Kinaxis, who we are is grounded in our common belief that people matter. Each one of us plays an important part in accomplishing our work, building our culture and making a global impact.

Every day, we’re empowered to work together to help our customers make fast, confident planning decisions. This is how we create a better planet – for each other, for our customers and for generations to come. Our cloud-based platform RapidResponse ensures that the products we need – everything from medicine and cars, to day-to-day items like toothpaste – make it to market and into our hands when we need them with minimal ecological footprint.

We make the world better, and you can too.


our office in Ottawa, Canada or Remote, Canada


4 or 8 months starting January 2024


As a member of our Cloud Platform Analytics and Observability team, you will be responsible for analyzing and interpreting data from cloud-based systems and databases and presenting insights to key stakeholders. You will also be responsible for developing automation to mature our observability strategy. You will gain valuable experience working with a range of cloud-native tools and platforms and will have the opportunity to work on real-world projects.









For more information, visit the Kinaxis web site at www.kinaxis.com or the company’s blog at http://blog.kinaxis.com/ .

Kinaxis strongly encourages diverse candidates to apply to our welcoming community. We strive to make our website and application process accessible to any and all users. If you would like to contact us regarding the accessibility of our website or need assistance completing the application process, please contact us at recruitmentprograms@kinaxis.com . This contact information is for accessibility requests only and cannot be used to inquire about the status of applications.",Internship,Full-time,Engineering and Information Technology,Software Development,https://ca.linkedin.com/jobs/view/co-op-intern-cloud-engineer-observability-at-kinaxis-3710307041?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=OtieMrURULPKyjQb4l9S3A%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Stagiaire génie industriel - Amélioration continue,Umano Medical,"Lévis, Quebec, Canada",2023-08-07,"En te joignant à l'équipe Amélioration continue, tu contribueras aux initiatives Lean de l'entreprise au sein des équipes R&D. Sous la responsabilité directe de la Coordonnatrice amélioration continue, tu participeras à différentes étapes de projets en amélioration des processus et d'optimisation des méthodes de travail. Tu supporteras les équipes afin d'améliorer les méthodes de travail pour leur permettre de développer des solutions novatrices orientées vers les patients, le personnel médical et nos clients.

Plus précisément, voici à quoi pourrait ressembler ta journée
Ce qui fait de toi la personne idéale pour ce stage

Joins-toi à une équipe engagée et dynamique au sein d'une entreprise en pleine croissance. L'humain passe véritablement avant tout ici, et tu vas le ressentir dès le premier jour.

Viens vivre une expérience qui va bien au-delà de l'équipement médical !",Internship,Full-time,Education and Training,Medical Equipment Manufacturing,https://ca.linkedin.com/jobs/view/stagiaire-g%C3%A9nie-industriel-am%C3%A9lioration-continue-at-umano-medical-3703137883?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=V7lArx5%2F96WFGyTr%2F2Nfhg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Stagiaire en conception électronique,ABB,"Québec, Quebec, Canada",2023-07-14,,,,,,https://ca.linkedin.com/jobs/view/stagiaire-en-conception-%C3%A9lectronique-at-abb-3645920310?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=RiKr3nj37lgHN7P0JhjocA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
STAGES / INTERNSHIP & JOURNÉES CARRIÈRE / CAREER DAYS,EBC Inc.,"Québec, Quebec, Canada",2023-03-31,"Description Du Poste

OFFRES DE STAGES

Nos équipes accueillent régulièrement des stagiaires. Si vous avez envie de vivre l’expérience EBC, soumettez votre CV (2 pages maximum) accompagné d’une lettre expliquant pourquoi vous voulez être stagiaire chez nous.



Leader canadien en construction, EBC œuvre dans les secteurs du bâtiment, des travaux civils et des mines.

En collaboration avec ses partenaires d’affaires, EBC réalise avec succès des projets de qualité, à la fois ambitieux et diversifiés, en appliquant les plus hauts standards de sécurité, tout en privilégiant la satisfaction de ses clients.



Développer notre position de chef de file canadien dans la réalisation de projets de construction, tout en conservant nos valeurs humaines.






Our teams regularly take on interns. If you’d like to sample the EBC experience, submit your CV (maximum 2 pages) and a letter explaining why you would like to intern with us.



A Canadian construction industry leader, EBC is active in the building, mining, and major civil engineering sectors. In collaboration with its business partners, EBC carries out ambitious and diverse projects of the highest quality. We apply the most stringent safety and quality standards while focusing on customer satisfaction.



To develop our position as a Canadian construction leader, while insisting on universal human values.",Internship,Internship,Education and Training,Construction,https://ca.linkedin.com/jobs/view/stages-internship-journ%C3%A9es-carri%C3%A8re-career-days-at-ebc-inc-3581747852?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=COa4nrtns5Jzm4JP9fN05w%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Stagiaire Logistique ville de Québec,Labatt Breweries of Canada,"Québec, Quebec, Canada",2023-08-28,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is unstoppable. Are you ready to join a team that dreams as big as you do?


Fondée il y a plus de 175 ans, Labatt est l'une des entreprises fondatrices du Canada et son principal brasseur. Nous sommes fier-ère-s de notre histoire et de notre patrimoine au Canada, et nous sommes fidèles à notre engagement de brasser des bières de grande qualité et au goût exceptionnel qui satisfont les amateur-trice-s de bière depuis des générations. Labatt a créé des expériences exaltantes avec les consommateur-trice-s grâce à des marques emblématiques comme Budweiser, Bud Light, NÜTRL, Michelob Ultra, Corona, Stella Artois et bien d'autres. Grâce à notre vaste gamme de produits, nous sommes véritablement un brasseur national. Avec plus de 3 600 employé-e-s, un portefeuille de plus de 60 bières et prêts-à-boire de qualité, et 10 brasseries partout au pays, nous sommes fier-ère-s de servir le Canada et les communautés auxquelles nous appartenons.


Le programme de stage en Logistique est un programme intensif de 16 semaines qui attire les personnes les plus brillantes et les plus motivées qui peuvent entreprendre des projets stimulants dans une variété de fonctions d'affaires. Le titulaire travaillera sous la direction du directeur de la logistique. Il est en charge de superviser, coordonner et contrôler les activités liées à la relève des camions, la gestion de la sécurité, le contrôle de l’inventaire, la réception des matières premières et produits finis, ainsi que de l’alimentation et l’extraction des lignes de production.

Nous recherchons des personnes ayant des compétences très variées qui auront non seulement un impact pendant leur stage, mais qui pourraient être converties en embauche à temps plein. Les postes vacants comprennent un poste à temps plein ou une place dans l'un de nos nouveaux programmes de rotation des diplômés; Cela comprend, sans toutefois s'y limiter, notre programme de développement en gestion mondiale, notre programme de développement en ventes, notre programme de développement en logistique et notre programme de développement en brasserie.







En tant que l’un des 100 meilleurs employeurs au Canada, Labatt est une entreprise où les individus peuvent révéler le meilleur d'eux-mêmes. Nous cherchons toujours à offrir de nouvelles façons de célébrer les moments de la vie, et nous avons de grands rêves pour faire avancer notre industrie et avoir un impact positif et significatif dans nos communautés. Nous croyons en la création d'un avenir que tout le monde peut célébrer et partager.


La Brasserie Labatt du Canada est un employeur offrant l’égalité professionnelle et nous nous engageons à maintenir un environnement accueillant, sûr et inclusif pour chaque personne - quel que soit son âge, sa race, son origine ethnique, sa nationalité, son orientation sexuelle, son identité et son expression de genre, sa religion, sa neurodiversité ou son statut de handicap.


La Brasserie Labatt du Canada s’engage à utiliser des pratiques de recrutement justes et équitables. Les personnes ayant un handicap sont encouragées à le mentionner à tout moment du processus de recrutement pour demander un ajustement au besoin. Les membres de notre équipe se consultent pour créer des processus offrant aux personnes ayant un handicap la meilleure expérience de recrutement possible.

POUR COMMUNIQUER AVEC NOUS


Instagram @ labattbreweries

LinkedIn @ Labatt Breweries of Canada",Internship,Full-time,Management and Manufacturing,Beverage Manufacturing,https://ca.linkedin.com/jobs/view/stagiaire-logistique-ville-de-qu%C3%A9bec-at-labatt-breweries-of-canada-3706114677?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=pxvJupaSqpvgUM2oj4VpaQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Stage ingénierie de procédés / Internship Process Engineering,Primero Group,"Québec, Quebec, Canada",2023-08-14,,,,,,https://ca.linkedin.com/jobs/view/stage-ing%C3%A9nierie-de-proc%C3%A9d%C3%A9s-internship-process-engineering-at-primero-group-3688111328?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=frhIbbLvs6V7dFSVpkEiYQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-04,"1805 1Re Av, Québec, Quebec G1L 4Y5

Horaire : Temps plein ou temps partiel (à déterminer selon les besoins et vos disponibilités.)

Salaire de jour : $16.45 (prime de 1$ incluse)

Salaire de nuit: $16.45 (Prime de nuit de 3$ + prime de rétention 1$ incluse)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)

Pour en savoir plus, consultez notre site internet : https://carrieres.couche-tard.com


Viens grandir avec nous !

Suivez-nous sur LinkedIn!

Le masculin est utilisé, sans discrimination, afin d’alléger le texte.

Nous remercions tous les candidats de l’intérêt qu’ils portent à ce poste; seules les personnes sélectionnées seront contactées.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-at-alimentation-couche-tard-3701469098?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=Xez1KZO%2Fc5mxBBIyMtfhMA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle - Temps partiel -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-07-29,"2845 Boul Père-Lelièvre, Québec, Quebec G1P 2X9

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime*) + prime de rétention de 500$ après 6 mois**

Horaire : Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Other,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-temps-partiel-act-at-alimentation-couche-tard-3701468749?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=fohwvfnEsNb64WCVprDGXA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle - Temps partiel -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-07-29,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-temps-partiel-act-at-alimentation-couche-tard-3701463646?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=ylGUhDQAOJlK19w5kLnr%2Bw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle - temps plein -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-07-26,"2900 Boul Lebourgneuf, Québec, Quebec G2C 1S2

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime*) + prime de rétention de 500$ après 6 mois**

Horaire : Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-temps-plein-act-at-alimentation-couche-tard-3699524837?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=KGuSYRzsuyAVKuTzQLJoFw%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
"Stagiaire, Certification (Eté 2024)",BDO Canada,"Québec, Quebec, Canada",2023-08-24,"Nous veillons chaque jour à faire de nos employés notre priorité

Chez BDO, les relations positives avec nos gens et nos clients sont fondamentales. Chaque jour, nos professionnels offrent à nos clients un service exceptionnel, ainsi que des conseils et des observations auxquels ils peuvent se fier. En contrepartie, nous offrons à nos employés un milieu de travail primé qui les met à l’avant-plan et qui fait de leur croissance personnelle et de leur perfectionnement professionnel une priorité.


Notre bureau de recherche pour son équipe de . Il s’agit d’un mandat qui s’échelonnera et qui comporte les responsabilités suivantes :






Chez BDO, nous avons à cœur d’assurer la réussite des étudiants qui sont candidats au titre de CPA. Nous offrons des programmes préapprouvés dans plus de cent bureaux, du mentorat et du soutien, le remboursement des frais de scolarité, l’inscription au meilleur cours préparatoire à l’EFC au Canada et des options flexibles en matière de congé d’études pour favoriser leur réussite.


Notre approche de l’expérience talent qui met les gens à l’avant-plan nous a fait gagner une place parmi les cent meilleurs employeurs du Canada pour l’année 2023. Nous sommes heureux d’ajouter cette reconnaissance, qui constitue une étape importante, aux prix que nous avons déjà remportés en lien avec l’expérience talent à la fois auprès d’employés chevronnés et d’étudiants.

Notre cabinet s’engage à offrir à ses employés un environnement où ils pourront atteindre le succès des façons suivantes :


: Notre cabinet se préoccupe de ses collectivités. BDO s’engage activement auprès des collectivités en appuyant des initiatives caritatives locales. Nous aidons les membres de notre personnel à contribuer au bien-être de leur collectivité grâce à l’organisation d’événements locaux et nationaux.

: nous rétribuons le rendement au moyen d’une rémunération globale en argent concurrentielle qui reconnaît et récompense la contribution de nos employés. Nous offrons des avantages flexibles dès l’embauche ainsi qu’une politique de congés personnels sans pareille sur le marché. Nous sommes engagés à soutenir le mieux-être de notre personnel au-delà du travail et nous remboursons donc certaines initiatives de bien-être correspondant à leur style de vie.

BDO estime que chaque employé doit avoir l’occasion de participer et de réussir sans obstacle. Grâce au leadership démontré par notre Chef de la diversité, de l’équité et de l’inclusion, nous nous engageons à créer un milieu de travail qui promeut le respect, la diversité, l’équité et l’inclusion. Nous reconnaissons et chérissons le fait que chaque employé est unique, notamment au chapitre de la race, de la religion, des aptitudes physiques et mentales, de l’âge, l’origine ethnique, de la situation de famille, du genre ou de l’identité de genre et de l’orientation sexuelle. Si vous avez besoin d’aide pour postuler, veuillez communiquer avec nous.

On s’attend à ce que tout le personnel de BDO passe une partie de son temps à travailler au bureau, chez le client et virtuellement, à moins que des mesures d’adaptation ou d’autres modalités de travail ne soient en place.

Notre modèle est une approche mixte conçue pour répondre aux besoins flexibles de nos employés, du cabinet et de nos clients. Il s’agit de créer des expériences de travail qui répondent aux besoins de chacun et d’offrir la flexibilité nécessaire pour s’adapter quand, où et comment nous travaillons afin de répondre aux attentes de notre rôle.

est un puissant facteur de distinction et fait partie intégrante de la stratégie de notre cabinet. Nos valeurs, incarnées par nos gens et intégrées à nos activités, orientent notre travail quotidien. Elles nous incitent à consolider nos relations avec nos clients et à établir un milieu de travail inclusif qui favorise la collaboration et l’innovation. Cliquez ici pour en savoir davantage.

Cliquez sur « Postuler » pour envoyer votre curriculum vitæ à l’un de nos spécialistes en recrutement de talents.

Carrières.",Entry level,Full-time,Information Technology,Financial Services,https://ca.linkedin.com/jobs/view/stagiaire-certification-et%C3%A9-2024-at-bdo-canada-3701378915?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=xbxIjZ75sZz5KbPy9AAMTQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-07-28,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701336330?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=%2FcKagxfRr6BIfFNN3ks%2BlQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-25,"1805 1Re Av, Québec, Quebec G1L 4Y5

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime*) + prime de rétention de 500$ après 6 mois**

Horaire : Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3705113084?refId=GhxijU%2Bn%2B80VJUamWtYHww%3D%3D&trackingId=oantmRycStuw9AnDzDEdmA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
"Stagiaire universitaire Automne 2023, Contrôle des matériaux",EXP,"Saint-Lambert-de-Lévis, Quebec, Canada",2023-08-18,"Job Description

Sous la supervision du directeur principal de notre laboratoire de Lévis, vous effectuerez le contrôle du béton frais, du compactage des enrobés bitumineux et des fondations granulaires sur le chantier. Vous effectuerez aussi les essais connexes et les tâches administratives qui vous seront confiés.







Si vous avez des questions sur le poste et souhaitez en savoir plus, n’hésitez pas à nous contacter à william.leclerc@exp.com. Il nous fera un plaisir de vous fournir des précisions.",Mid-Senior level,Full-time,Education and Training,"Architecture and Planning, Civil Engineering, and Oil and Gas",https://ca.linkedin.com/jobs/view/stagiaire-universitaire-automne-2023-contr%C3%B4le-des-mat%C3%A9riaux-at-exp-3688537920?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=R8ZSlLm%2FJqaZ5fT0%2BiIzZg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
STAGIAIRE EN GÉNIE FORESTIER,Société québécoise des infrastructures,"Québec, Quebec, Canada",2023-08-28,,,,,,https://ca.linkedin.com/jobs/view/stagiaire-en-g%C3%A9nie-forestier-at-soci%C3%A9t%C3%A9-qu%C3%A9b%C3%A9coise-des-infrastructures-3706419157?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=f2WqENB61loJtYjzYg4pnQ%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle - temps partiel -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-24,"4750 3e Av O, Québec, Quebec G1H 6G1

Préposé(e) au service à la clientèle

Chez Couche-Tard nous prenons à cœur la santé et sécurité de nos employés. Nous offrons un environnement de travail qui respecte les mesures sanitaires mises en place ainsi qu’une stabilité d’emploi assurée.


Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Other,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-temps-partiel-act-at-alimentation-couche-tard-3703454693?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=7o%2FPM%2BYKOmhyQXr7C37jBQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-07-27,"545 76e Rue Ouest, Charlesbourg, Quebec G1H 4S4

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime*) + prime de rétention de 500$ après 6 mois**

Horaire : Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3700343053?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=%2FlzVwntMzYvTubUfpx8kxA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle - ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-03,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701452761?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=RAvvYqY6AN7sxK%2FfrX3FsA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Lévis, Quebec, Canada",2023-07-29,"800 Avenue Taniata, Lévis, Quebec G6Z 2C9

Préposé(e) au service à la clientèle

Salaire (jour et soir) : 16,45$/h (incluant prime**) + prime de rétention de 500$ après 6 mois*

Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701441634?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=P4zhfomIro386GWksfn1aA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé service à la clientèle -ACT,Alimentation Couche-Tard,"Québec, Quebec, Canada",2023-08-23,"610 Boul Pierre-Bertrand, Québec, Quebec G1M 3A3

Préposé(e) au service à la clientèle

Chez Couche-Tard nous prenons à cœur la santé et sécurité de nos employés. Nous offrons un environnement de travail qui respecte les mesures sanitaires mises en place ainsi qu’une stabilité d’emploi assurée.


Temps plein ou temps partiel de jour ou soir (à déterminer selon les besoins et vos disponibilités)







Le poids de la marchandise peut varier pouvant peser jusqu’à 12 kg (25 lb)






valorise la diversité et de l’inclusion et vise à créer un milieu de travail sain, accessible et gratifiant qui met en valeur la contribution unique de nos employés au succès de notre entreprise. En tant qu'employeur qui s'engage à respecter l'équité en matière d'emploi, nous encourageons les candidatures les plus diverses afin de pouvoir nous doter d’un effectif varié et représentatif de nos clients et des communautés que l’on sert. Des accommodements sont disponibles sur demande pour les candidats qui participent à tous les aspects du processus de sélection.",Entry level,Full-time,Management and Manufacturing,Retail,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3702992216?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=wCGJvtuuvvH%2Bj7RoYxT%2FAA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Préposé au service à la clientèle -ACT,Alimentation Couche-Tard,"Lévis, Quebec, Canada",2023-07-29,,,,,,https://ca.linkedin.com/jobs/view/pr%C3%A9pos%C3%A9-au-service-%C3%A0-la-client%C3%A8le-act-at-alimentation-couche-tard-3701456947?refId=X3E6ZqTn8PH7wxWKqs5Ieg%3D%3D&trackingId=W851coGihKzwyH%2Fzrj7oDg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
