role,name,location,post_time,description,level,job_type,job_func,industry,url
"Intern, Institutional Sales & Service (Winter 2024)",Mackenzie Investments,"Toronto, Ontario, Canada",2023-08-21,"Position: Customer Applications Eng Co-op/Intern

Duration:4 Months

Date: Jan to Apr, 2024

Flexible (Hybrid or Virtual)


We are a B2B technology innovation leader pioneering the future where networks meet cloud.

At Nokia you will have a positive impact on people’s lives and help build the capabilities needed for a more productive, sustainable, and accessible world.

Be part of a culture built on an inclusive way of working where we are open to your ideas, you are empowered to take risks and are encouraged to be fearless in bringing your authentic self to work.


Network Infrastructure

The pandemic has highlighted how important telecoms networks are to society. Nokia’s Network Infrastructure group is at the heart of a revolution to bring more and faster network capacity to people worldwide through our ambition, innovation, and technical expertise.


As part of the team, you will:


Every day will be a new challenge and you’ll get exposure to a wide variety of technologies used in industry-leading ISP networks. Your skills in Linux, Java, and networking will be pushed to the limit and you’ll surprise yourself with the knowledge you finish the semester with.



Currently enrolled in the second, third, or fourth year of a bachelor’s degree or diploma in Computer, Software, Electrical Engineering, Information Technology, Computer Science, or related field with an accredited school in Canada

You have:


It would be nice if you're:



Nokia offers flexible and hybrid working schemes, continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.

Company Culture: We believe our people are our greatest asset and we aim to foster a fun, challenging, positive, and inclusive work environment. We offer 1-on-1 mentorship, learning and development opportunities, global impact and interaction, and flexible work/life balance.

Meaningful Co-op Term: During your co-op term, you will have the opportunity to test out the latest technologies and work on innovative projects that could leave a global impact. You get to use skills learned in the classroom and apply it to real work situations while gaining professional hands-on experience.

Nokia is committed to inclusion and is an equal opportunity employer

Nokia has received the following recognitions for its commitment to inclusion & equality:


At Nokia, we act inclusively and respect the uniqueness of people.

Nokia’s employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.

We are committed to a culture of inclusion built upon our core value of respect.

Join us and be part of a company where you will feel included and empowered to succeed.

Follow and engage with us on social media:

LinkedIn | Facebook | Instagram | Twitter @NokiaCareers

Chat with our Nokia insiders to ask questions and learn more about us!


Trainee - Trainee


North Americas-Canada-Ontario-Ottawa


Full-time",Not Applicable,Full-time,Quality Assurance,IT Services and IT Consulting and Telecommunications,https://ca.linkedin.com/jobs/view/customer-applications-eng-co-op-intern-at-nokia-3691789704?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=T%2FF1I5%2BiV2%2BIYrlJ0RRLLg%3D%3D&position=5&pageNum=5&trk=public_jobs_jserp-result_search-card
"Intern - Investments, INR (8-Jan-24 to 30-Apr-24)",Ontario Teachers' Pension Plan,"Toronto, Ontario, Canada",2023-08-21,"IGM Financial Inc. is a leading Canadian wealth and asset management company with $271 billion in total assets under management. Through its subsidiaries, including IG Wealth Management, Mackenzie Investments, and Investment Planning Counsel, the company offers a wide range of financial planning and investment management services to over two millioIG n Canadians. As a one-of-a-kind financial ecosystem, IGM harnesses the collective strength of all its companies to help Canadians navigate the financial world with better planning and advice, and to offer better choice of forward-thinking investment solutions.

With a strong reputation built over 90 years, is committed to providing personalized advice and exceptional outcomes for clients, inspiring financial confidence.

At IGM, better isn’t a destination. It’s our way of being. Our way to better means being the best wealth and asset management firm in the industry, creating a culture that inspires us, and leads to the betterment of all. That is why we are proud to be recognized as one of Canada’s Top Employers and Best Diversity Employers by Mediacorp Canada Inc. IGM empowers its employees with hybrid work environments where applicable and prioritizes physical and mental wellness. Joining our team means being part of a culture driven by better. A culture that challenges convention and champions progressive thinking. Celebrates initiative and entrepreneurial spirit. Embraces and cultivates unique perspectives. And doesn’t just do what’s right for today, but for a sustainable future. Because at IGM, better never stops.


We are currently hiring an intern looking for a winter term position, from January to April 2024. Candidates in an undergraduate program that will be returning to school after the internship are eligible to apply.


May include:





We thank all applicants for their interest in IG Wealth Management; however only those candidates selected for an interview will be contacted.

If you need an accommodation or alternative format during the recruitment process, please contact our Talent Acquisition team for assistance.",Internship,Internship,"Other, Information Technology, and Management",Financial Services,https://ca.linkedin.com/jobs/view/intern-private-company-advisory-winter-2024-at-ig-wealth-management-3696927929?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=WUyVwPl0ZJP0OQE9NRF0iQ%3D%3D&position=6&pageNum=5&trk=public_jobs_jserp-result_search-card
Customer Applications Eng Co-op/Intern,Nokia,"North Gower, Ontario, Canada",2023-08-21,"Overview

Please note that you are limited to only ONE application during the fall recruitment period as we ask you to think ahead to what office you are interested in and what type of position you would like to pursue.

At KPMG in Canada, you’ll join a team of diverse and dedicated problem solvers, connected by a common cause turning insight into opportunity for clients and communities around the world.

Do work that matters, supported by a community that values difference and cares about you. Gain learning that’ll last you a lifetime and be recognized for the impact you make. With a focus on encouraging employees to come as they are, KPMG provides its employees with a variety of unique tools and support systems that ensure they thrive and make their mark in their career and in their communities.



Our GTA office is seeking undergraduate Business or Accounting students, who are pursuing their CPA designation to join the team as summer intern or co-op student in 2024 as part of our .

Our Tax Team

In KPMG’s Tax practice, your skills, tact and knowledge can make a difference to your client's business strategy and ultimately, their bottom line. You’ll work with clients to identify tax-planning opportunities and meet their tax compliance requirements. You will have the opportunity to work with one of the many teams within our Tax Practice, which could include



Canadian companies and individuals operating in multiple jurisdictions must deal with numerous government authorities and frequent changes to tax laws and regulations. Canadian Corporate Tax professionals assist businesses and individuals in understanding how to effectively respond to these changes.





Our Intern and Co-op program aims to develop the next generation of leaders through challenging and interesting work. During your term, you will gain authentic engagement experience working with client projects across our teams. Along the way, you will broaden your skill set through KPMG’s vast learning and development opportunities that you can take on to your future career.

The national Power Up programming will also provide you with opportunities to learn from our leaders, build a network with other student hires through social events, collaborate with professionals from across KPMG and learn how KPMG supports you in your career journey.



You strive to make a meaningful and positive difference alongside your peers, to work collaboratively and with innovation at the forefront. You’re passionate about being involved in your local community and post-secondary institution and have a proven ability to achieve personal and professional success while being curious as you learn emerging practices and technologies.



— You have a strong academic record

— You are committed to achieving your Canadian CPA designation and working to obtain the CPA required pre-requisite courses at your post-secondary institution

— Establishes strong relationships internally and externally and builds wide and productive networks

— Engages others, instils confidence, and coaches people to find meaning in their work and achieve exceptional results

— Uses insights and self-reflection to build capability and embrace new challenges

— Delivers high-quality results and exceptional service that provide value

— Embraces a culture of innovation and experimentation to create value



To learn more about how you can thrive with us at the firm, explore life at KPMG in Canada!



Start your journey and make your mark with KPMG today!

Please apply directly to KPMG at Student careers - KPMG Canada.



Feeling a little overwhelmed with the application process? Don’t worry – we've got you covered! Check out our resume and interview tips available over at our Application Journey page!



— You will be asked to complete an application questionnaire where you can outline your preferences. Please carefully review which specific opportunities are available before submitting your application, as openings vary by office.

— Applications can be addressed to “Hiring Manager” and should include a cover letter, resume, and a copy of your most recent unofficial transcript. If you do not have access to an electronic copy of your transcript, we ask that you attach a screenshot of your grades from your school’s website.

— All considered applicants must have or will obtain legal authorization to work in Canada by the start date of employment.

— If you require more information about the CPA Ontario Academic Prerequisites at Post-Secondary Institutions, you can visit CPA Ontario | Academic Prerequisites at Post-Secondary Institutions

If you experience any difficulties with the online system, please contact

ca-fmcandidateexpcoe@kpmg.ca.





, we do what is right | , we never stop learning and improving | , we think and act boldly | , we respect each other and draw strength from our differences | , we do what matters

KPMG in Canada is a proud equal opportunities employer and we are committed to creating a respectful, inclusive and barrier-free workplace that allows all of our people to reach their full potential. A diverse workforce is key to our success and we believe in bringing your whole self to work. We welcome all qualified candidates to apply and hope you will choose KPMG in Canada as your employer of choice. For more information about Inclusion, Diversity & Equity in Recruitment, please click here.

If you have a question about accessible employment at KPMG, or to begin a confidential conversation about your individual accessibility or accommodation needs through the recruitment process, we encourage you to visit our accessibility page.",Not Applicable,Internship,Administrative,Financial Services,https://ca.linkedin.com/jobs/view/gta-office-cpa-opportunities-in-tax-internship-or-co-op-summer-or-winter-2024-start-at-kpmg-canada-3697363609?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=sMucMiF7MeV12%2FMV0vyv4w%3D%3D&position=7&pageNum=5&trk=public_jobs_jserp-result_search-card
"Intern, Private Company Advisory (Winter 2024)",IG Wealth Management,"Ontario, Canada",2023-08-21,,,,,,https://ca.linkedin.com/jobs/view/intern-researcher-advanced-wireless-at-huawei-technologies-canada-co-ltd-3610622699?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=5oeDmOYyDVlQJnUiGVmGFg%3D%3D&position=8&pageNum=5&trk=public_jobs_jserp-result_search-card
GTA Office - CPA Opportunities in Tax - Internship or Co-op - Summer or Winter 2024 Start,KPMG Canada,"Vaughan, Ontario, Canada",2023-08-22,"Our team has an immediate internship opening for an Associate Engineer.

Responsibilities:

Carry out research on the next-generation optical and wireless communication technologies and understand the technology evolution trend.

Job requirements",Internship,Internship,Engineering and Information Technology,Telecommunications,https://ca.linkedin.com/jobs/view/intern-associate-engineer-technical-research-at-huawei-technologies-canada-co-ltd-3674204412?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=zE%2Bs8vZXO82RA4KivN2AMg%3D%3D&position=9&pageNum=5&trk=public_jobs_jserp-result_search-card
Intern Researcher - Advanced Wireless,"Huawei Technologies Canada Co., Ltd.","Ottawa, Ontario, Canada",2023-04-24,"The future you want is within reach.

At PCL, we build the places where life happens and find camaraderie in the process. We’re a community of builders committed to building better communities. That’s why we’re always looking ahead, and not just to the next project or what’s next in our industry.

We’re also looking at what’s next for you and how we can help you build a career you’re proud of. As a student at PCL, you will get the opportunity for challenging work assignments in a supportive work environment which promotes personal and professional growth.

We are seeking for our Solar Centre of Excellence (Oakville, ON) who are availablestarting in

As a and depending on your assigned project, you will have the opportunity to contribute to our team by:












PCL is an innovative, employee-owned company comprised of people who find passion in their profession and take pride in doing great work every day. Our work powers the infrastructure and utilities that are essential to daily life and our projects are the scene of vacations, careers, education and healing. We are consistently ranked among the best companies to work for because we are committed to supporting and developing our teams.

The PCL Companies celebrate diversity and are proud to be an equal opportunity employer. We are committed to creating equitable opportunities and an inclusive environment for all employees and applicants. We make employment-related decisions without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, age, disability or veteran status.

Should you require an accommodation during the application process, please contact us at careers@pcl.com with the position and location you are interested in.

Safety is a core value that guides everything we do. As such, all PCL salary and student employees based in Canada are required to be fully vaccinated against COVID-19. Employees may request an exemption due to medical condition(s) and other applicable human rights grounds.

Together, we can build success and a better future. Let’s get started

08/30/2023

Internship Full-Time

PCL Solar Constructors Canada Inc.

Oakville, Ontario

Solar Analyst Student

: 4334",Internship,Internship,Business Development and Sales,Construction,https://ca.linkedin.com/jobs/view/solar-analyst-student-at-pcl-construction-3709329959?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=psjDs%2BxJbdPR8SKpubsGbg%3D%3D&position=10&pageNum=5&trk=public_jobs_jserp-result_search-card
Intern Associate Engineer - Technical Research,"Huawei Technologies Canada Co., Ltd.","Markham, Ontario, Canada",2023-07-24,"Dreaming big is in our DNA. It’s who we are as a company. It’s our culture. It’s our heritage. And more than ever, it’s our future. A future where we’re always looking forward. Always serving up new ways to meet life’s moments. A future where we keep dreaming bigger. We look for people with passion, talent, and curiosity, and provide them with the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is unstoppable. Are you ready to join a team that dreams as big as you do?


Founded over 175 years ago, Labatt is one of Canada’s founding businesses and its leading brewer. We are proud of our history and our heritage in Canada, and we remain committed to brewing great-tasting, high-quality beers that have satisfied beer drinkers for generations. Labatt has created exciting experiences with consumers through iconic brands like Budweiser, Bud Light, NÜTRL, Michelob Ultra, Corona, Stella Artois and many more. Through our broad portfolio, we are truly a national brewer, with over 3,600 employees, a portfolio of more than 60 quality beers and beyond, and 10 breweries from coast-to-coast, we are proud to serve Canada and the communities we call home.


The Brewery Trainee Internship is an intensive 4 month program that attracts the brightest, most driven individuals who can take on challenging projects. A Brewery Trainee Intern will work directly with our Supply group. Our Supply group is responsible for brewing, packaging and shipping the famous Budweiser beer. Paramount to everything they do, commitment is to safety and social responsibility. 99.8% of everything that enters our breweries if either completely used in the process or recycled. We also dedicate those big, high-speed lines to help our communities during time of disaster by packaging cans of emergency drinking water. Our customers expect the best and the Supply team provides it.

We are looking for candidates who are in it for the long-haul. This internship could lead you to an opportunity to join us full-time after you graduate into one of our full-time trainee programs. These include, but are not limited to, our Global Management Trainee Program, Supply Chain Trainee Program, Brewery Trainee Program, and Technology Trainee Program.







As one of Canada’s Top 100 Employers, Labatt is a place where our people can bring out the best in themselves through a collective purpose of creating A Future With More Cheers. We are always looking to serve up new ways to meet life’s moments, dream big to move our industry forward, and make a meaningful impact in our communities. We believe in brewing up a future that everyone can celebrate and share.


At Labatt Breweries of Canada, we are an equal opportunities employer and we are committed to maintaining a welcoming, safe, and inclusive environment for every person – regardless of age, race, ethnicity, nationality, sexual orientation, gender identity and expression, religion, neurodivergence, or disability status.


Labatt Breweries of Canada is committed to fair and equitable recruiting practices. Persons with disabilities are encouraged to come forward at any stage of the recruitment process to request accommodations, if needed. Members of our team will consult and create processes that provide individuals with disabilities the best possible recruitment experience.

CONTACT US


Instagram @ labattbreweries

LinkedIn @ Labatt Breweries of Canada",Internship,Full-time,Education and Training,Beverage Manufacturing,https://ca.linkedin.com/jobs/view/brewery-intern-at-labatt-breweries-of-canada-3706418479?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=ZOOJ%2Fxj2zccvsSC0C9w7Vg%3D%3D&position=11&pageNum=5&trk=public_jobs_jserp-result_search-card
Solar Analyst Student,PCL Construction,"Oakville, Ontario, Canada",2023-08-30,"Come create the technology that helps the world act together

We are a B2B technology innovation leader pioneering the future where networks meet cloud.

At Nokia you will have a positive impact on people's lives and help build the capabilities needed for a more productive, sustainable, and accessible world.

Be part of a culture built on an inclusive way of working where we are open to your ideas, you are empowered to take risks and are encouraged to be fearless in bringing your authentic self to work.


The pandemic has highlighted how important telecoms networks are to society. Nokia's Network Infrastructure group is at the heart of a revolution to bring more and faster network capacity to people worldwide through our ambition, innovation, and technical expertise.


As part of a Research and Development team, you will be assigned projects related to software tools development and support.

Position: SW Tools Development Co-op / Intern

Duration: 4 months, with the ability to extend to 8 months

Date: January 8th, 2024 to April 26th, 2024

Location: Onsite in Ottawa, Canada


As part of the team, you will:




Currently a candidate for Bachelor's degree or diploma in Computer Science, Computer Systems Engineering, Software Engineering or a related field with an accredited school in Canada

You have :



Nokia offers flexible and hybrid working schemes, continuous learning opportunities, well-being programs to support you mentally and physically, opportunities to join and get supported by employee resource groups, mentoring programs and highly diverse teams with an inclusive culture where people thrive and are empowered.



Nokia has received the following recognitions for its commitment to inclusion & equality:

One of the World's Most Ethical Companies by Ethisphere

Gender-Equality Index by Bloomberg

Workplace Pride Global Benchmark

At Nokia, we act inclusively and respect the uniqueness of people.

Nokia's employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.

We are committed to a culture of inclusion built upon our core value of respect.

Join us and be part of a company where you will feel included and empowered to succeed.


Applied R&D


North Americas-Canada-Ontario-Ottawa


Full-time",Not Applicable,Full-time,Information Technology,IT Services and IT Consulting and Telecommunications,https://ca.linkedin.com/jobs/view/sw-tools-development-co-op-intern-at-nokia-3672485007?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=ft%2FWZ2vJ5CEMBRLuK8yJVQ%3D%3D&position=12&pageNum=5&trk=public_jobs_jserp-result_search-card
Brewery Intern,Labatt Breweries of Canada,"London, Ontario, Canada",2023-08-29,"Mind4Youth is a leading mental health organization dedicated to providing comprehensive support and promoting mental well-being for individuals of all backgrounds. With a firm belief in the transformative power of mental health, we work tirelessly to create a society that values and prioritizes the mental well-being of its members. At Mind4Youth, we understand that mental health is a fundamental aspect of overall well-being. We are committed to breaking down barriers, eradicating stigma, and ensuring that mental health is recognized as an integral part of a healthy and fulfilling life. Our organization operates on the core values of compassion, innovation, collaboration, and empowerment. We are driven by a deep sense of empathy, and we strive to create a safe and inclusive environment where individuals can seek support without fear of judgment. Are you passionate about making a difference in your community? Then this opportunity is for you! Make an impact directly from your home no matter where you are located.

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.",Associate,Volunteer,Legal,Non-profit Organizations and Civic and Social Organizations,https://ca.linkedin.com/jobs/view/volunteer-advocate-from-your-home%21-mental-health-awareness-virtual-internship-at-mind4youth-3672088170?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=LBPDRZrGu2VaJpt%2BCi5hLQ%3D%3D&position=13&pageNum=5&trk=public_jobs_jserp-result_search-card
SW Tools Development Co-op/Intern,Nokia,"North Gower, Ontario, Canada",2023-07-24,,,,,,https://ca.linkedin.com/jobs/view/global-banking-and-markets-gafe-financial-engineering-internship-co-op-winter-2024-scotiabank-at-careerbeacon-3709334619?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=mS0O6UmpE3WQr2jDX9Z1jw%3D%3D&position=14&pageNum=5&trk=public_jobs_jserp-result_search-card
Volunteer: Advocate From Your Home!- Mental Health Awareness Virtual Internship,Mind4Youth,"Markham, Ontario, Canada",2023-07-23,"WIND ENGINEERING - INTERN

Rowan Williams Davies & Irwin Inc. (RWDI) is an engineering consulting firm specializing in the science of buildings and structures. We lead integrated design incorporating sustainability, environmental engineering, wind engineering, microclimate, ventilation, noise, acoustics and vibration. We are a firm of 800+ enthusiastic people in eight countries, bringing our wide range of experience and skills together to develop a better, holistic design for our clients.

RWDI’s office is currently accepting applications from 3rd or 4th year students for a Internship position, for a minimum 8-month term, beginning September 2023.







Salary: Commensurate with experience

Thank you in advance for your application. Only candidates selected for an interview will be contacted.

RWDI endorses and practices the principles of equal opportunity employment. We are committed to diversity and inclusion. Accommodations are available during all stages of the recruitment process in accordance with AODA and the Human Rights Code.",Internship,Internship,Engineering and Information Technology,Civil Engineering,https://ca.linkedin.com/jobs/view/engineering-intern-at-rwdi-3656788781?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=QnnbVMv83cTMExFQnrqSFQ%3D%3D&position=15&pageNum=5&trk=public_jobs_jserp-result_search-card
Global Banking and Markets - GAFE Financial Engineering Internship/Co-Op - Winter 2024 [Scotiabank],CareerBeacon,"Toronto, Ontario, Canada",2023-09-04,"Company Overview:

If a culture of excellence, innovation and ownership is what you’re searching for, consider putting your experience in motion at Flowserve. As an individual contributor, or as a leader of people, your enterprise mindset will ensure Flowserve’s position as the global standard in comprehensive flow control solutions. Here, your opportunity for professional development and industry leading rewards will be supported by our foundational commitments to the values of people first, integrity and safety. Thinking beyond opportunity and reward, at Flowserve, we are inspired by working together to create extraordinary flow control solutions to make the world better for everyone!

Role Summary :

To support the Engineered Systems Department with technical documentation. In addition, assist to complete all drawing requests and correspondence from Drafting and Engineering personnel.

Responsibilities & Requirements :

Responsibilities:


Requirements:


Preferred Experience / Skills :


: R-6502

: Other

: OT Co-Op/Intern

EOE including Disability/Protected Veterans. Flowserve will also not discriminate against an applicant or employee for inquiring about, discussing or disclosing their pay or, in certain circumstances, the pay of their co-workers. Pay Transparency Nondiscrimination Provision

If you are a qualified individual with a disability or a disabled veteran, you have the right to request a reasonable accommodation if you are unable or limited in your ability to use or access flowservecareers.com as result of your disability. You can request a reasonable accommodation by sending an email to employment@flowserve.com. In order to quickly respond to your request, please use the words ""Accommodation Request"" as your subject line of your email. For more information, read the Accessibility Process.",Internship,Internship,Education and Training,Industrial Machinery Manufacturing,https://ca.linkedin.com/jobs/view/co-op-intern-at-flowserve-corporation-3686298871?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=D7d0txXOpc9UdfXKTuPyDQ%3D%3D&position=16&pageNum=5&trk=public_jobs_jserp-result_search-card
Engineering Intern,RWDI,"Guelph, Ontario, Canada",2023-08-20,,,,,,https://ca.linkedin.com/jobs/view/solar-engineering-student-at-pcl-construction-3709334374?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=W787QsSi2H0U5wBoOorfiA%3D%3D&position=17&pageNum=5&trk=public_jobs_jserp-result_search-card
Co-op/Intern,Flowserve Corporation,"Guelph, Ontario, Canada",2023-08-23,"Company Description

Working under general supervision, the Marketing Co-op will provide Sales & Marketing support for retail businesses.






Fortune Brands' Water Innovations (WINN) is a multi-brand plumbing business that is inspiring people by designing beautiful experiences with water. WINN's trusted brands include Moen and the House of Rohl portfolio. We welcome you to visit the Moen.com and HouseofRohl.com websites to learn more about us and why we are a top workplace.


Fortune Brands' WINN is an equal opportunity employer. WINN evaluates qualified applicants without regard to race, color, religion, sex, gender identity or expression, national origin, ancestry, age, disability/handicap status, marital status, protected veteran status, sexual orientation, genetic history or information, or any other legally protected characteristic.


Fortune Brands' WINN is committed to working with and providing reasonable accommodations to individuals with disabilities. If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application or interview process, please send an e-mail to TalentAcquisition@moen.com and let us know the nature of your request along with your contact information.",Not Applicable,Full-time,Administrative,Consumer Goods,https://ca.linkedin.com/jobs/view/marketing-co-op-student-at-moen-incorporated-3576354295?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=zNj0jxfU805v5DK%2Fx1qJOQ%3D%3D&position=18&pageNum=5&trk=public_jobs_jserp-result_search-card
Solar Engineering Student,PCL Construction,"Oakville, Ontario, Canada",2023-08-30,"Requisition Number: 154308

Job Description

Cintas is offering a Management Trainee program to college graduates designed to prepare you for your professional life. We have the same goals. You want an exceptional job, and we want a dedicated employee-partner to join our team and lead our company. Cintas is currently seeking a Management Trainee to participate in an extensive, well-structured training program designed to provide a strong knowledge of all aspects of our business. The Management Trainee program combines a series of rotations in various departments and classroom seminars, with the purpose of preparing the individual for a leadership role in the area that maximizes their strengths and career advancement potential. Upon completion of the program, the Management Trainee graduate will take on a key role as a new business Sales Representative. Following one’s time in Sales, Management Trainee graduates will be eligible to apply for a position in one of several areas, including but not limited to: Outside Sales, Production/Warehouse Management, Office Management or Service Management. Driving a van/truck or personal car is required in two of the rotations. Our Management Trainee program is available nationwide.


Required



In order to comply with DOT requirements, qualified candidates must, prior to their first day of employment

Qualified candidates must meet all requirements outlined by the Department of Transportation (DOT) for driving a regulated vehicle weighing more than 10,000 lbs.






Headquartered in Cincinnati, Cintas is a publicly held company traded over the Nasdaq Global Select Market under the symbol CTAS and is a component of both the Standard & Poor’s 500 Index and Nasdaq-100 Index.

Cintas Corporation helps more than 900,000 businesses of all types and sizes get READY™ to open their doors with confidence every day by providing a wide range of products and services that enhance our customers’ image and help keep their facilities and employees clean, safe and looking their best. With products and services including uniforms, mats, mops, restroom supplies, first aid and safety products, fire extinguishers and testing, and safety and compliance training, Cintas helps customers get Ready for the Workday®.

To support our growth across North America, we’re seeking driven professionals with ambition to move up within our company. Our professional culture, our dedication to our employee-partners and limitless career opportunities—these are just a few benefits we’re proud to offer. Our employee-partners know every job is critical, and that teamwork drives innovation. Let’s talk about how you’ll fit into our team and how your hard work will be recognized through competitive pay, world-class benefits and ongoing career development. Are you Ready™ for limitless opportunities at Cintas?

In accordance with applicable laws (including human rights and accessibility legislation), accommodations will be provided in all parts of the hiring process. Applicants are required to make their needs known in advance.

Job Category: Service

Organization: Rental

Employee Status: Regular

Schedule: Full Time

Shift: 1st Shift",Not Applicable,Full-time,Other,Retail Office Equipment and Facilities Services,https://ca.linkedin.com/jobs/view/management-trainee-at-cintas-canada-3707053664?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=jJ0NI8sYZJdpGV0HGwc2yQ%3D%3D&position=19&pageNum=5&trk=public_jobs_jserp-result_search-card
Marketing Co-Op Student,Moen Incorporated,"Oakville, Ontario, Canada",2023-04-19,,,,,,https://ca.linkedin.com/jobs/view/global-banking-and-markets-gafe-financial-engineering-internship-co-op-summer-2024-12-months-scotiabank-at-careerbeacon-3709337040?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=zFR3AWdpqKmvzdTyM4lqKQ%3D%3D&position=20&pageNum=5&trk=public_jobs_jserp-result_search-card
Management Trainee,Cintas Canada,"Newmarket, Ontario, Canada",2023-08-29,"The Deadline To Apply For This Role Is

September 30, 2023

The opportunity

May 2024-September 2024

Are you curious to learn more about becoming an investment professional? Do you thrive in a fast-paced working environment? If so, join Ontario Teachers’ Infrastructure & Natural Resources (INR) group. We are looking for dedicated self-starters who share our passion for investing and want to learn how we execute on investment opportunities and manage our existing investments.

If you are an excellent teammate who can handle multiple projects and is interested in learning about investing in the growing infrastructure and natural resources sectors, then this is the opportunity for you!

Who you’ll work with

The investment intern will work closely with our highly-specialized private equity team that invests in global infrastructure and natural resources companies to deliver growing, inflation-linked cash flows over a long-term investment horizon. Our team consists of over 45 investment professionals with strong academic backgrounds (CA, CFA, MBA, CBV, PEng) and solid practical experience.

We handle a geographically-diverse C$55 billion global investment portfolio and have offices in Toronto, Canada, London, United Kingdom, and Singapore, with additional presences in Santiago, Chile and Melbourne, Australia! Our investments are primarily through direct, privately-held, controlling or co-controlling stakes, rather than through funds or passive holdings.

Successful individuals in the internship program may be extended an offer for our competitive Early Talent Analyst Program.

What you’ll do


The investment intern in this role will be involved in assisting the team in analysing potential new investment opportunities, managing our existing investments and partake in the following initiatives


What you’ll need






At Ontario Teachers', diversity is one of our core strengths. We take pride in ensuring that the people we hire and the culture we create, reflect and embrace diversity of thought, background and experience. Through our Diversity, Equity and Inclusion strategy and our Employee Resource Groups (ERGs), we celebrate diversity and foster inclusion through events for colleagues to connect for professional development, networking & mentoring. We are building an inclusive and equitable workplace where our talent is respected, accepted and empowered to be themselves. To learn more about our commitment to Diversity, Equity and Inclusion, check out Life at Teachers'.


Are you ready to pursue new challenges and take your career to the next level? Apply today! The following documents are required to be uploaded with your application:


You will also be invited to complete a pre-recorded digital interview as part of your application.

We thank you for applying, however, only those selected for a personal interview will be contacted. Note that candidates must be legally entitled to work in the country where this role is located.

Accommodations are available upon request (peopleandculture@otpp.com) for candidates with a disability taking part in the recruitment process and once hired.

The privacy of your personal information is important to us. Please visit our Privacy Centre to learn how we handle your personal information.


Administration


5340",Internship,Full-time,Finance and Sales,Financial Services and Investment Management,https://ca.linkedin.com/jobs/view/intern-investments-inr-summer-2024-4-months-at-ontario-teachers-%E2%80%8B-pension-plan-3691790744?refId=%2BuHIOk9nKYdcdnNpdeqqOA%3D%3D&trackingId=ZrSZL1pl3TB4dOBiGPuYbw%3D%3D&position=21&pageNum=5&trk=public_jobs_jserp-result_search-card
