role,name,location,post_time,description,level,job_type,job_func,industry,url
Intern Program Lead,Stantec,"Alberta, Canada",2023-08-23,"Intern Program Lead - ( 230003FV )

Description

Grow with the best. Join a smart, creative, and inspired team that works to support operational excellence. The Stantec community unites more than 26,000 employees working in over 400 locations across 6 continents. Our Functional Services Teams (FSTs) include Corporate Development, Finance, Human Resources, HSSE, IT, Legal, Marketing/Communications, Practice Services and Real Estate and Procurement. Bringing together individuals with diverse backgrounds, talents, and expertise, our FSTs are vital to making our Company stronger.


We have an exciting opportunity for an Intern Program Lead! As part of the Talent Acquisition team, focused on early in career recruitment, you will lead our collaborative and results-driven efforts to further intern programming at Stantec. Focused on the intern experience, you will design, coordinate, and execute end to end intern programming, starting from the time our students sign their offers through their entire internship.


Intern Programming


Recruitment







Typical office environment working with computers and remaining sedentary for long periods of time.


Stantec is a place where the best and brightest come to build on each others’ talents, do exciting work, and make an impact on the world around us. Join us and redefine your personal best.

Full-time and part-time employees will have access to health, dental, and vision plans, a well-being program, health care spending account, wellness spending accounts, group registered retirement savings plan, employee stock purchase program, group tax-free savings account, life and accidental death & dismemberment (AD&D) insurance, short-term/long-term disability plans, emergency travel benefits, tuition reimbursement, professional membership fee coverage, and paid time off.

Temporary/casual employees will have access to group registered retirement savings plan, employee stock purchase program, and group tax-free savings account.

: Canada-Ontario-Ottawa

: Canada-Ontario, Canada-Alberta

: BC-1297 Human Resources-Talent Acquisition-Canada

: Regular

: Individual Contributor

: Yes, 10 % of the Time

: Full-time

: Aug 23, 2023, 7:46:24 AM

230003FV

Stantec provides equal employment opportunities to all qualified employees and applicants for future and current employment and prohibit discrimination on the grounds of race, color, religion, sex, national origin, age, marital status, genetic information, disability, protected veteran status, sexual orientation, gender identity or gender expression. We prohibit discrimination in decisions concerning recruitment, hiring, referral, promotion, compensation, fringe benefits, job training, terminations or any other condition of employment. Stantec is in compliance with local, state and federal laws and regulations and ensures equitable opportunities in all aspects of employment. EEO including Disability/Protected Veterans",Mid-Senior level,Full-time,Other,Design Services,https://ca.linkedin.com/jobs/view/intern-program-lead-at-stantec-3702526866?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=jCnEazdFhH1%2BFPZ9EEf3mA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
"Student, Project Controls, January 2024 (Calgary)",Cenovus Energy,"Calgary, Alberta, Canada",2023-08-26,,,,,,https://ca.linkedin.com/jobs/view/student-project-controls-january-2024-calgary-at-cenovus-energy-3705414151?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=1etIJxP07h65vgQzcrOdHw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Civil Engineering Student Co-op,Klohn Crippen Berger,"Calgary, Alberta, Canada",2023-07-24,,,,,,https://ca.linkedin.com/jobs/view/civil-engineering-student-co-op-at-klohn-crippen-berger-3674389202?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=cGuzGrgI%2B2djnPHi7dtQqw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
"Student, Mechanical Engineering, January 2024 (Calgary)",Cenovus Energy,"Calgary, Alberta, Canada",2023-08-31,"Worker Type: Employee

Group:

Job Post End Date: 09/11/2023

January 8, 2024

Calgary, AB

8 months | 12 months | 16 months


Are you looking for an exciting Student opportunity full of meaningful, diverse, and challenging assignments working alongside industry leading professionals? You will be part of a driven, and collaborative team completing important projects while receiving the mentorship, knowledge, and experience to develop the skills you need to build an exciting career.

Within the Engineering Function, you could be placed in one of the following Cenovus business units, including:












Please submit a resume and transcript in one (1) PDF document.


If you require accessibility assistance to complete the on-line application or otherwise apply for an open position with Cenovus, its subsidiaries and affiliates, please email careeropportunities@cenovus.com.







We’re a Canadian-based integrated energy company headquartered in Calgary. We’re committed to maximizing value by sustainably developing our assets in a safe, innovative and cost-efficient manner, integrating environmental, social and governance considerations into our business plans.

Sustainability has always been deeply engrained in Cenovus’s culture. We have ambitious environmental, social and governance (ESG) targets in five focus areas – climate & greenhouse gas emissions, water stewardship, biodiversity, Indigenous reconciliation and Inclusion & Diversity – and are taking action to achieve them.

Cenovus is a founding member of the Pathways Alliance, Canada’s largest oil sands producers working together to address climate change. For more information on Cenovus’s ESG focus areas and targets, and overall sustainability efforts, visit https://www.cenovus.com/Sustainability.





At Cenovus, we embrace diversity of thought, experience, and backgrounds to help us make better business decisions, address our challenges, seize opportunities, and unlock innovative solutions. We’re committed to building a diverse, equitable and inclusive workplace where people feel respected, valued, and engaged. We strive for a collaborative, physically and psychologically safe environment where you can be yourself, feel a sense of belonging and thrive.

The requirements of this posting may be modified to support business needs. Title and compensation administration will be based on the skills and capabilities of the successful incumbent.











Interested in this opportunity? Click the Apply link.

If you are a CURRENT EMPLOYEE please apply by going to our Internal Career Site",Internship,Full-time,Education and Training,Oil and Gas,https://ca.linkedin.com/jobs/view/student-mechanical-engineering-january-2024-calgary-at-cenovus-energy-3701428717?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=0FwMArQj7%2F8yUWwZDrQzzg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
"Student, Project Risk Management, January 2024 (Calgary)",Cenovus Energy,"Calgary, Alberta, Canada",2023-08-26,"Worker Type: Employee

Group:

Job Post End Date: 09/12/2023

Student, Project Risk Management

January, 2024

Calgary, AB

12 months | 16 months


Are you looking for an exciting Student opportunity full of meaningful, diverse, and challenging assignments working alongside industry-leading professionals? You will be part of a driven and collaborative team completing important projects while receiving the mentorship, knowledge, and experience to develop the skills you need to build an exciting career.

The Project Risk Management team within the Downstream & Midstream Projects group has an excellent opportunity for Student, Project Risk Management to assist the Project Risk Management team responsible for integrated project risk management process across Cenovus Downstream & Midstream portfolio. Key pieces of the role include assist Project Risk Management team in facilitating risk assessment, coordinate risk reviews, follow up with project team and contractors to collate risk updates for risk reporting and communication. The successful candidate will be a great teammate, highly organized, energetic, and work well in a fast-paced project management environment that requires taking initiative and managing multiple priorities.











May include frequency of travel, sitting, standing, computer work, lifting, driving, working at site, etc.


Please submit a resume and transcript in one (1) PDF document.


If you require accessibility assistance to complete the on-line application or otherwise apply for an open position with Cenovus, its subsidiaries and affiliates, please email careeropportunities@cenovus.com.





We’re a Canadian-based integrated energy company headquartered in Calgary. We’re committed to improving value by sustainably developing our assets in a safe, innovative and cost-efficient manner, integrating environmental, social and governance considerations into our business plans.

Sustainability has always been deeply engrained in Cenovus’s culture. We have ambitious environmental, social and governance (ESG) targets in five focus areas – climate & greenhouse gas emissions, water stewardship, biodiversity, Indigenous reconciliation and Inclusion & Diversity – and are taking action to achieve them.

Cenovus is a founding member of the Pathways Alliance, Canada’s largest oil sands producers working together to address climate change. For more information on Cenovus’s ESG focus areas and targets, and overall sustainability efforts, visit https://www.cenovus.com/Sustainability.





At Cenovus, we embrace diversity of thought, experience, and backgrounds to help us make better business decisions, address our challenges, seize opportunities, and unlock innovative solutions. We’re committed to building a diverse, equitable and inclusive workplace where people feel respected, valued, and engaged. We strive for a collaborative, physically and psychologically safe environment where you can be yourself, feel a sense of belonging and thrive.

The requirements of this posting may be modified to support business needs. Title and compensation administration will be based on the skills and capabilities of the successful incumbent.











Interested in this opportunity? Click the Apply link.

If you are a CURRENT EMPLOYEE please apply by going to our Internal Career Site",Internship,Internship,Education and Training,Oil and Gas,https://ca.linkedin.com/jobs/view/student-project-risk-management-january-2024-calgary-at-cenovus-energy-3705408910?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=O59I952KB%2FJl8ucmcEgYdg%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
"Intern, Assurance & Accounting / Stagiaire, Certification et comptabilité",MNP,"Medicine Hat, Alberta, Canada",2023-09-01,"Inspirational, innovative and entrepreneurial - this is how we describe our empowered teams. Combine your passion with purpose and join a culture that is thriving in the face of change.

Make an impact with our Assurance & Accounting team as an Intern. This diverse team of professionals are dedicated to exceeding clients’ unique needs within a rapidly evolving business and financial reporting landscape. As a trusted advisor, you’ll provide comprehensive, tailored financial information that enables clients to make informed decisions with confidence.

MNP is proudly Canadian. Providing business strategies and solutions, we are a leading national accounting, tax and business advisory firm in Canada. Entrepreneurial to our core, our talented team members transcend obstacles into opportunities and are successfully transforming mid-market business practices.

When applying, please submit your resume, cover letter, transcript and other applicable forms, as necessary, in 1 document.









More than a paycheque, MNP is proud to offer customized rewards for our team members. With a focus on health and wealth, we provide an extensive list of benefits that support our unique culture and foster work-life integration.

Our MyRewards@MNP program offers benefits that allow you to thrive at work and outside of the office. Be rewarded with generous paid time off including 4 personal days, firm sponsored social events, a group pension plan with 4% matching contribution, voluntary savings products, bonus program eligibility, a wellness subsidy, health and dental benefits, mental health resources, exclusive access to perks and discounts, professional development assistance, learning opportunities through MNP University, a flexible ‘Dress For Your Day’ environment and more!

Inspiration, innovation, entrepreneuriat : voilà ce qui résume bien nos équipes d’exception. Donnez une vocation à votre passion en rejoignant une culture qui s’épanouit face au changement.

Faites votre marque au sein du groupe Certification et comptabilité à titre de stagiaire. Cette équipe diversifiée de professionnels s’engage à surpasser les besoins uniques de nos clients en matière d’information financière, un domaine en constante évolution. En tant que conseiller de confiance, vous produirez de l’information financière détaillée et personnalisée pour permettre à nos clients de prendre des décisions en toute confiance.

Notre identité canadienne est une source de fierté. Nous sommes un cabinet comptable, de services de fiscalité et de services-conseils de premier plan au Canada qui propose des stratégies et des solutions aux entreprises. Entrepreneurs dans l’âme, les talentueux membres de notre équipe voient les obstacles comme des opportunités et transforment les pratiques commerciales sur le marché des moyennes entreprises.

Pour poser votre candidature, envoyez-nous votre CV, votre lettre d’accompagnement, votre relevé de notes et tout autre formulaire nécessaire en un seul document.









Chez MNP, il y a bien plus que le chèque de paie. C’est avec fierté que nous offrons des avantages sur mesure à tous les membres de notre équipe. Nous proposons une liste complète d’avantages sociaux axés sur la santé et la retraite qui soutiennent notre culture unique et encouragent la conciliation travail-vie personnelle.

Par l’entremise de notre programme MesAvantages@MNP, nous proposons une panoplie d’avantages pour vous aider à vous épanouir au travail comme à l’extérieur du bureau. Profitez de généreux congés payés, y compris quatre congés personnels, d’activités sociales organisées par le cabinet, d’un régime de retraite collectif avec cotisations égalées à 4 %, de produits d’épargne facultatifs, d’une admissibilité aux programmes de primes, d’une allocation bien-être, de prestations de soins de santé et soins dentaires, de ressources en santé mentale, d’une offre exclusive d’avantages indirects et de rabais, d’un encadrement professionnel, de formations sur notre plateforme MNP University, d’un code vestimentaire flexible selon vos tâches de la journée et plus encore!",Internship,Full-time,Accounting/Auditing and Finance,Accounting,https://ca.linkedin.com/jobs/view/intern-assurance-accounting-stagiaire-certification-et-comptabilit%C3%A9-at-mnp-3709833549?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=mWIMiml9wL7FVN8jAjVfJA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
"Actuarial Analyst - 4 Month Co-Op/Internship (Winter, Summer, & Fall 2024)",Intact,"Calgary, Alberta, Canada",2023-08-31,"Our employees are at the heart of what we do best: helping people, businesses and society prosper in good times and be resilient in bad times. When you join our team, you’re bringing this purpose to life alongside a passionate community of experts.

Feel empowered to learn and grow while being valued for who you are– here, diversity is a strength. You have our commitment to support you in reaching your goals with tools, opportunities, and flexibility. It’s our employee promise.

Our hybrid work model provides the balance between working from home and enjoying meaningful in-person interactions.

Read on to see how you can shape the future, win as a team, and grow with us.



Launching your career at Intact means joining a diverse community of experts that trust and value your skills in an industry that is constantly evolving. Here, you’ll receive mentorship and coaching in a dynamic hands-on environment. You’ll drive innovation and make a meaningful impact in our organization, for our customers, and across our communities. You’ll grow personally and professionally with access to advanced learning platforms and make lasting connections near and far. Most importantly, you’ll discover how exciting the “real world” can be.

Here, your career will take off 🚀

As an Actuarial Analyst Co-op/Intern at Intact, you will learn to analyze and manage risk – ultimately driving our insights and business solutions.









We can’t wait to learn more about you. When you complete your application, remember to include your resume and University/College transcript. We hire co-ops every semester (Winter, Summer and Fall)!

We’re accepting applications now through . All submissions will be reviewed during this time, as well as after the posting closes.



Working here means you'll be empowered to be and do your best every day. Here is some of what you can expect as a temporary member of our team:



At Intact, we value diversity and strive to create an inclusive, accessible workplace where all individuals feel valued, respected, and heard.

If we can provide a specific adjustment to make the recruitment process more accessible for you, please let us know when we reach out about a job opportunity. We’ll work with you to meet your needs.

Click here to review other important information about the hiring process, including background checks, internal candidates, and eligibility to work in Canada.",Internship,Full-time,Finance and Sales,"Software Development, Insurance, and Financial Services",https://ca.linkedin.com/jobs/view/actuarial-analyst-4-month-co-op-internship-winter-summer-fall-2024-at-intact-3709804932?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=ACRdMji5Tn8ZZbTEf%2F6oOA%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
Shell Assessed Internship Programme - January 2024 - Canada,Shell,"Fort Saskatchewan, Alberta, Canada",2023-09-01,"Join us as a Shell Assessed Intern and you can be a part of the future of energy.

Together we are transitioning to become a net-zero emissions business while providing the energy that people around the world need today.

Working with experienced colleagues on these important challenges, you’ll have the opportunity to grow your skills– in an environment where we value honesty, integrity, and respect for one another.

Whichever part of our business you join, you will have the chance to work with experienced colleagues and share your unique perspective and fresh ideas on how to tackle energy-related challenges. That’s why we’re looking for interns who share our purpose and passion for progress.

Our inclusive and collaborative culture will equip you with the support you need to forge your own path and grow your skills as you work on meaningful projects with exciting responsibilities right from the start.

At Shell you can power your progress as we tackle the energy challenge together.


Shell Canada is part of a global group of energy and petrochemicals companies with an average of 92,000 employees in more than 70 countries and has been operating in Canada since 1911. We are one of the few truly integrated energy companies in Canada with all of Shell’s global businesses represented, including upstream, integrated gas, downstream, and renewables and energy solutions. That means we do everything from exploration, gas production, refining and manufacturing, to providing fuels and developing low-carbon energy solutions for our customers.

At a glance, our businesses and projects in Canada include:



How can the world transition to net zero emissions while providing the secure, affordable energy that powers lives? You’ll get the opportunity for hands-on experience of projects that are helping to meet this challenge. By working with experienced colleagues who bring expertise from a range of areas, you will have the chance to help drive change in the energy system.


When you join, you'll be assigned to a role with exciting challenges and opportunities. You’ll be supported in crafting a development journey tailored to your strengths and needs with the opportunity to work on a variety of projects at the forefront of technologies, trends and practices.

Shell's 'learner mindset' environment helps unlock the potential in each of us, creating a supportive, high-performance environment based on openness, curiosity and growth, where you can learn from experiences and build the skills that let you grow today and lead in future.


With access to a global network of expertise you can make meaningful connections and continue your growth and learning at Shell. We invite people to think differently and learn from the diversity of backgrounds, cultures, ideas and knowledge at Shell.


We live our core values of honesty, integrity and respect, so you can work in an environment that encourages you to be the best version of yourself and respects the individual journeys that each of us will take.

Learn more about Shell careers on our website.



An Assessed Internship is an excellent way to get to know Shell from the inside and immerse yourself in the energy industry. It can also help you decide what career path is right for you. You’ll have full day-to-day involvement in actual projects, selected to match your interests and abilities.

You’ll join a project team and work alongside Shell employees who are all professionals in their fields. Their perspectives will contribute to your understanding of our business, its demands, and rewards.

A supervisor and mentor will support you directly and you’ll undertake regular assessments throughout your internship to ensure you get the most from the experience.

As part of the Assessed Internship, you’ll have a formal mid-term review with your supervisor and mentor. At the close of your internship, you will be asked to prepare a presentation about your project and there will be discussion on project delivery and performance by your supervisor and mentor.

An internship with Shell will provide you with:


A chance to build and develop valuable networks and contracts for future career opportunities

Our typical internship program opportunities within the commercial and technical streams are located Calgary, AB, Sarnia, ON, or our Scotford complex near Fort Saskatchewan, AB.



You should enjoy being challenged, so that rather than being daunted or overwhelmed if a task seems impossible, you welcome the opportunity to be innovative. You also need to be good at absorbing information, analysing problems, making objective decisions, and coming up with original ideas. You should have the drive and resilience to get things done, the flexibility to work well as part of a team and the credibility to influence others.

We are looking for ambitious students who are currently enrolled in a post-secondary institution and meet the following criteria:


Engineering Opportunities:

You are actively enrolled in a Chemical, Mechanical or Electrical Engineering Program and will complete at least one more semester of education following your internship.

Commercial/Business Opportunities:

You are actively enrolled in a Business or Commerce Program and will complete at least one more semester of education following your internship.

Join the Shell Assessed Internship Program and Power Change from Day One.

An inclusive place to work

To power progress together, we need to attract and develop the brightest minds and make sure every voice is heard. Here are just some of the ways we’re nurturing an inclusive environment – one where you can express your ideas, extend your skills and reach your potential.


Joignez-vous à nous en tant que stagiaire évalué(e) de Shell et vous pourriez faire partie de l’avenir de l’énergie.

Ensemble, nous travaillons à devenir une entreprise carboneutre tout en offrant de l’énergie aux personnes qui en ont besoin aujourd’hui, et ce, partout dans le monde.

En travaillant avec des collègues expérimentés sur ces défis importants, vous aurez l’occasion d’acquérir des compétences – dans un environnement où l’honnêteté, l’intégrité et le respect mutuel sont priorisés.

Peu importe le secteur de l’entreprise auquel vous vous joindrez, vous aurez la chance de travailler avec des collègues chevronnés et de partager votre perspective unique et vos idées novatrices sur la façon de relever les défis énergétiques. C’est pourquoi nous recherchons des stagiaires qui partagent notre objectif et notre passion pour le progrès.

Notre culture inclusive et collaborative vous offrira le soutien dont vous avez besoin pour tracer votre propre voie et acquérir des compétences pendant que vous travaillez sur des projets significatifs comportant des responsabilités palpitantes dès le début.

Chez Shell, vous pouvez susciter votre progrès alors que nous relevons le défi énergétique ensemble.



Comment le monde peut-il faire la transition vers la carboneutralité tout en offrant de l’énergie sécuritaire et abordable au quotidien? Vous aurez l’occasion de participer directement dans des projets qui aideront à relever ce défi. En travaillant avec des collègues chevronnés qui offrent une expertise provenant de nombreux secteurs, vous aurez la chance de favoriser le changement dans le système énergétique.



En intégrant notre équipe, vous occuperez un rôle qui comporte des occasions et des défis palpitants. Vous serez soutenu dans votre processus de perfectionnement qui sera personnalisé en fonction de vos forces et de vos besoins. Vous aurez l’occasion de travailler sur une variété de projets à l’avant-plan des technologies, des tendances et des pratiques.

La mentalité « esprit d’apprentissage » de Shell aide à libérer le potentiel de chacun d’entre nous, ce qui crée un environnement positif à rendement élevé fondé sur l’ouverture, la curiosité et la croissance. Vous pouvez y apprendre des expériences et établir les compétences qui vous permettront de grandir aujourd’hui et de diriger demain.



En ayant accès à un réseau international d’experts, vous pouvez établir des liens précieux et continuer votre croissance et votre apprentissage chez Shell. Nous invitons les gens à penser différemment et à apprendre d’une variété d’origines, de cultures, d’idées et de connaissances.



Nous mettons en pratique nos valeurs fondamentales d’honnêteté, d’intégrité et de respect pour que vous puissiez travailler dans un environnement qui vous encourage à être la meilleure version de vous-même et qui respecte le parcours individuel que chaque personne entreprend.

Apprenez-en plus sur les possibilités de carrière chez Shell (s’ouvre en anglais) sur notre site Web.





Nous recherchons des stagiaires qui, comme nous, souhaitent susciter le progrès et favoriser notre culture d’inclusion, de collaboration et de bienveillance. Nous vous offrirons le soutien dont vous avez besoin pour tracer votre voie, et vous aurez de véritables responsabilités et travaillerez sur des projets significatifs dès le départ.



Shell a pour objectif de susciter le progrès ensemble, en fournissant davantage de solutions énergétiques plus propres. Nous pensons que la hausse des niveaux de vie d’une population mondiale qui ne cesse de croître continuera à entraîner l’accroissement de la demande d’énergie, notamment celle du pétrole et du gaz, pour les années à venir. En même temps, les technologies évoluent et la nécessité de lutter contre le changement climatique entraîne une transition en cours vers un système énergétique multisources à faibles émissions de carbone.

Étant l’une des plus grandes sociétés du secteur de l’énergie dans le monde, Shell joue un rôle essentiel dans la satisfaction des besoins énergétiques de la planète d’une manière responsable sur les plans économique, social et environnemental. Il n’y a jamais eu de période aussi stimulante pour travailler dans le secteur énergétique. Joignez-vous à nous pour devenir une entreprise énergétique carboneutre d’ici 2050, ou avant si possible.



Un stage évalué est une excellente façon de vous familiariser avec Shell de l’intérieur et d’apprendre les rouages du secteur de l’énergie. Il peut également vous aider à déterminer le cheminement de carrière qui vous convient. Vous participerez pleinement au quotidien à des projets réels de l’entreprise, choisis en fonction de vos centres d’intérêt et de vos aptitudes.

Vous rejoindrez une équipe de projet et travaillerez aux côtés d’employés de Shell qui sont tous des professionnels dans leur secteur. Leurs points de vue contribueront à renforcer votre compréhension de notre entreprise, de ses exigences et des avantages qu’elle peut vous offrir.

Un superviseur et un mentor vous soutiendront directement et vous effectuerez des évaluations régulières tout au long de votre stage pour veiller à ce que vous profitiez au maximum de cette expérience.

Dans le cadre d’un stage évalué, vous participerez à une évaluation officielle à mi-parcours avec votre mentor et votre superviseur. À la fin de votre stage, vous serez appelé à préparer une présentation sur votre projet et à participer avec votre superviseur et votre mentor à une discussion qui portera sur la réalisation du projet et sur votre rendement.

Un stage chez Shell vous fournira :


Les occasions de stage dans le cadre de notre programme dans les secteurs commercial et technique sont offertes à Calgary (Alberta), Sarnia (Ontario) et à notre complexe de Scotfort situé à proximité de Fort Saskatchewan (Alberta).



Vous devez aimer les défis, car au lieu d’être découragé(e) ou accablé(e) par une tâche qui semble impossible, vous vous réjouirez de l’occasion d’innover. Vous devez aussi avoir des aptitudes à assimiler l’information, à analyser les problèmes, à prendre des décisions objectives et à proposer des idées originales. Vous devez avoir le dynamisme, la confiance et la résilience nécessaires à l’accomplissement des tâches, la souplesse qu’exige le travail d’équipe et une crédibilité suffisante pour persuader les autres.

Vous devez aimer les défis, de sorte qu’au lieu d’être découragé(e) ou accablé(e) par une tâche qui semble impossible, vous vous réjouissez de l’occasion d’innover. Vous devez aussi avoir des aptitudes à assimiler l’information, à analyser les problèmes, à prendre des décisions objectives et à proposer des idées originales. Vous devez avoir le dynamisme, la confiance et la résilience nécessaires à l’accomplissement des tâches, la souplesse qu’exige le travail d’équipe et une crédibilité suffisante pour persuader les autres.

Nous sommes à la recherche d’étudiants ambitieux actuellement inscrits dans un établissement d’enseignement postsecondaire et qui répondent aux critères suivants :


Occasions professionnelles offertes en ingénierie :

Vous êtes inscrit(e) à un programme de génie chimique ou électrique ou Mécanique et étudierez pendant encore au moins un trimestre après votre stage.

Occasions professionnelles offertes dans les secteurs commercial et d’affaires :

Vous êtes inscrit(e) à un programme de commerce, d’administration des affaires ou de gestion de la chaîne d’approvisionnement et étudierez pendant encore au moins un trimestre après votre stage.

Joignez-vous au programme de stages évalués de Shell et suscitez le changement dès votre premier jour.



Pour susciter le progrès ensemble, nous devons attirer et perfectionner les cerveaux les plus brillants et nous assurer que chaque voix est entendue. Voici quelques-unes des façons dont nous cultivons un environnement inclusif, dans lequel vous pouvez exprimer vos idées, démontrer vos aptitudes et réaliser votre potentiel.",Not Applicable,Internship,Other,Oil and Gas,https://ca.linkedin.com/jobs/view/shell-assessed-internship-programme-january-2024-canada-at-shell-3710096944?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=13lhT5yDQ2I7zHAeE6HsWg%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Shell Assessed Internship Programme - January 2024 - Canada,Shell,"Calgary, Alberta, Canada",2023-09-01,,,,,,https://ca.linkedin.com/jobs/view/shell-assessed-internship-programme-january-2024-canada-at-shell-3710096937?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=G075UHurpK%2Bh4HY4x%2BnrSw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
"Student, Facilities Engineering, January 2024 (Calgary)",Cenovus Energy,"Calgary, Alberta, Canada",2023-08-31,"Worker Type: Employee

Group:

Job Post End Date: 09/11/2023

January 8, 2024

Calgary, AB

12 months


Are you looking for an exciting Student opportunity full of meaningful, diverse, and challenging assignments working alongside industry leading professionals? You will be part of a driven, and collaborative team completing important projects while receiving the mentorship, knowledge, and experience to develop the skills you need to build an exciting career.

The successful candidate will be exposed to a fast-paced work environment with a team that supports day-to-day operations across all Canadian Thermal & Conventional Heavy Oil (CTCHO) facilities. In addition to the exposure and application of the Electrical Engineering field, in this role there will be exposure to the operation, maintenance, and optimization of multiple upstream operation facilities. The position will incorporate continuous interaction with other engineering teams (ie. process engineering, operations, integrity, rotating equipment, etc) to widen the level of expertise outside of the electrical world.









Please submit a resume and transcript in one (1) PDF document.


If you require accessibility assistance to complete the on-line application or otherwise apply for an open position with Cenovus, its subsidiaries and affiliates, please email careeropportunities@cenovus.com.







We’re a Canadian-based integrated energy company headquartered in Calgary. We’re committed to maximizing value by sustainably developing our assets in a safe, innovative and cost-efficient manner, integrating environmental, social and governance considerations into our business plans.

Sustainability has always been deeply engrained in Cenovus’s culture. We have ambitious environmental, social and governance (ESG) targets in five focus areas – climate & greenhouse gas emissions, water stewardship, biodiversity, Indigenous reconciliation and Inclusion & Diversity – and are taking action to achieve them.

Cenovus is a founding member of the Pathways Alliance, Canada’s largest oil sands producers working together to address climate change. For more information on Cenovus’s ESG focus areas and targets, and overall sustainability efforts, visit https://www.cenovus.com/Sustainability.





At Cenovus, we embrace diversity of thought, experience, and backgrounds to help us make better business decisions, address our challenges, seize opportunities, and unlock innovative solutions. We’re committed to building a diverse, equitable and inclusive workplace where people feel respected, valued, and engaged. We strive for a collaborative, physically and psychologically safe environment where you can be yourself, feel a sense of belonging and thrive.

The requirements of this posting may be modified to support business needs. Title and compensation administration will be based on the skills and capabilities of the successful incumbent.











Interested in this opportunity? Click the Apply link.

If you are a CURRENT EMPLOYEE please apply by going to our Internal Career Site",Internship,Full-time,Engineering and Information Technology,Oil and Gas,https://ca.linkedin.com/jobs/view/student-facilities-engineering-january-2024-calgary-at-cenovus-energy-3701429311?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=l%2FFPTv%2FdmnmGBcAcBK5CDA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
"Intern, Inside Sales (Winter 2024)",Mackenzie Investments,"Calgary, Alberta, Canada",2023-08-21,"Job Description

IGM Financial Inc. is a leading Canadian wealth and asset management company with $271 billion in total assets under management. Through its subsidiaries, including IG Wealth Management, Mackenzie Investments, and Investment Planning Counsel, the company offers a wide range of financial planning and investment management services to over two million Canadians. As a one-of-a-kind financial ecosystem, IGM harnesses the collective strength of all its companies to help Canadians navigate the financial world with better planning and advice, and to offer better choice of forward-thinking investment solutions.

With a strong reputation built over 50 years, is a holistic asset-management partner for thousands of Canadian financial advisors and the investors they support.

At IGM, better isn’t a destination. It’s our way of being. Our way to better means being the best wealth and asset management firm in the industry, creating a culture that inspires us, and leads to the betterment of all. That is why we are proud to be recognized as one of Canada’s Top Employers and Best Diversity Employers by Mediacorp Canada Inc. IGM empowers its employees with hybrid work environments where applicable and prioritizes physical and mental wellness. Joining our team means being part of a culture driven by better. A culture that challenges convention and champions progressive thinking. Celebrates initiative and entrepreneurial spirit. Embraces and cultivates unique perspectives. And doesn’t just do what’s right for today, but for a sustainable future. Because at IGM, better never stops.


We are currently hiring an intern looking for a winter term position, January to April 2024 in our Calgary Office. Candidates in an undergraduate program that will be returning to school after their internship are eligible to apply.






We thank all applicants for their interest in Mackenzie Investments; however only those candidates selected for an interview will be contacted.

If you need an accommodation or alternative format during the recruitment process, please contact our Talent Acquisition team for assistance.",Internship,Internship,Sales and Business Development,Financial Services,https://ca.linkedin.com/jobs/view/intern-inside-sales-winter-2024-at-mackenzie-investments-3700348402?refId=KL5ojyLxVbd6Z7xCaM0wMQ%3D%3D&trackingId=uvMc8VB4%2FXNvPwu%2FtagblQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
