role,name,location,post_time,description,level,job_type,job_func,industry,url
"Actuarial Analyst - 4 Month Co-Op/Internship (Winter, Summer, & Fall 2024)_fr",Intact,"Vancouver, British Columbia, Canada",2023-08-31,,,,,,https://ca.linkedin.com/jobs/view/actuarial-analyst-4-month-co-op-internship-winter-summer-fall-2024-fr-at-intact-3709810673?refId=pxRwNuCs6iA1C%2Bi89HQDTw%3D%3D&trackingId=PSKXOUpofK7DbtrIQdjnvg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
"Coop or Intern, US Corporate Tax - January 2024",BDO Canada,"Vancouver, British Columbia, Canada",2023-08-03,"Putting people first, every day

BDO is a firm built on a foundation of positive relationships with our people and our clients. Each day, our professionals provide exceptional service, helping clients with advice and insight they can trust. In turn, we offer an award-winning environment that fosters a people-first culture with a high priority on your personal and professional growth.


Our office is looking for a to join the team for either a opportunity starting in and own the following responsibilities:









Our people-first approach to talent has earned us a spot among Canada’s Top 100 Employers for 2023. This recognition is a milestone we’re thrilled to add to our collection of awards for both experienced and student talent experiences.

Our firm is committed to providing an environment where you can be successful in the following ways:


Where company meets community. BDO is actively involved in our communities by supporting local charity initiatives. We support staff with local and national events where you will be given the opportunity to contribute to your community.

We pay for performance with competitive total cash compensation that recognizes and rewards your contribution. We provide flexible benefits from day one, and a market leading personal time off policy. We are committed to supporting your overall wellness beyond working hours and provide reimbursement for wellness initiatives that fit your lifestyle.

We believe every employee should have the opportunity to participate and succeed. Through leadership by our Chief Inclusion and Diversity Officer, we are committed to a workplace culture of respect, inclusion, and diversity. We recognize and celebrate the valuable differences among each of us, including race, religious beliefs, physical or mental disabilities, age, place of origin, marital status, family status, gender or gender identity and sexual orientation. If you require accommodation to complete the application process, please contact us.

As a hybrid workplace, all BDO personnel are expected to spend some of their time working in the office, at the client site, and remotely unless accommodations or alternative work arrangements are in place.

Click “Apply now” to send your up-to-date resume to one of our Talent Acquisition Specialists.

careers page.",Internship,Internship,Education and Training,Financial Services,https://ca.linkedin.com/jobs/view/coop-or-intern-us-corporate-tax-january-2024-at-bdo-canada-3682213836?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=zmVUeU9hao7uGr%2BlrlMosA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
"Co-op/Intern, A&A 2024",BDO Canada,"Prince George, British Columbia, Canada",2023-05-08,"Putting people first, every day

BDO is a firm built on a foundation of positive relationships with our people and our clients. Each day, our professionals provide exceptional service, helping clients with advice and insight they can trust. In turn, we offer an award-winning environment that fosters a people-first culture with a high priority on your personal and professional growth.



Our office is looking for to join the Assurance & Accounting team in and own the following responsibilities:













Our people-first approach to talent has earned us a spot among Canada’s Top 100 Employers for 2023. This recognition is a milestone we’re thrilled to add to our collection of awards for both experienced and student talent experiences.

Our firm is committed to providing an environment where you can be successful in the following ways:


Where company meets community. BDO is actively involved in our communities by supporting local charity initiatives. We support staff with local and national events where you will be given the opportunity to contribute to your community.

We pay for performance with competitive total cash compensation that recognizes and rewards your contribution. We provide flexible benefits from day one, and a market leading personal time off policy. We are committed to supporting your overall wellness beyond working hours and provide reimbursement for wellness initiatives that fit your lifestyle.

We believe every employee should have the opportunity to participate and succeed. Through leadership by our Chief Inclusion and Diversity Officer, we are committed to a workplace culture of respect, inclusion, and diversity. We recognize and celebrate the valuable differences among each of us, including race, religious beliefs, physical or mental disabilities, age, place of origin, marital status, family status, gender or gender identity and sexual orientation. If you require accommodation to complete the application process, please contact us.

As a hybrid workplace, all BDO personnel are expected to spend some of their time working in the office, at the client site, and remotely unless accommodations or alternative work arrangements are in place.

Click “Apply now” to send your up-to-date resume to one of our Talent Acquisition Specialists.

careers page.",Internship,Full-time,Education and Training,Financial Services,https://ca.linkedin.com/jobs/view/co-op-intern-a-a-2024-at-bdo-canada-3623990600?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=zcXA1rd7cChuJ2Ok7LnTfw%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
"Co-op or Intern, A&A 2024",BDO Canada,"Vernon, British Columbia, Canada",2023-05-26,"Putting people first, every day

BDO is a firm built on a foundation of positive relationships with our people and our clients. Each day, our professionals provide exceptional service, helping clients with advice and insight they can trust. In turn, we offer an award-winning environment that fosters a people-first culture with a high priority on your personal and professional growth.



Our Vernon office is looking for a to join the Assurance & Accounting team, starting and own the following responsibilities:













Our people-first approach to talent has earned us a spot among Canada’s Top 100 Employers for 2023. This recognition is a milestone we’re thrilled to add to our collection of awards for both experienced and student talent experiences.

Our firm is committed to providing an environment where you can be successful in the following ways:


Where company meets community. BDO is actively involved in our communities by supporting local charity initiatives. We support staff with local and national events where you will be given the opportunity to contribute to your community.

We pay for performance with competitive total cash compensation that recognizes and rewards your contribution. We provide flexible benefits from day one, and a market leading personal time off policy. We are committed to supporting your overall wellness beyond working hours and provide reimbursement for wellness initiatives that fit your lifestyle.

We believe every employee should have the opportunity to participate and succeed. Through leadership by our Chief Inclusion and Diversity Officer, we are committed to a workplace culture of respect, inclusion, and diversity. We recognize and celebrate the valuable differences among each of us, including race, religious beliefs, physical or mental disabilities, age, place of origin, marital status, family status, gender or gender identity and sexual orientation. If you require accommodation to complete the application process, please contact us.

As a hybrid workplace, all BDO personnel are expected to spend some of their time working in the office, at the client site, and remotely unless accommodations or alternative work arrangements are in place.

Click “Apply now” to send your up-to-date resume to one of our Talent Acquisition Specialists.

careers page.",Internship,Full-time,Education and Training,Financial Services,https://ca.linkedin.com/jobs/view/co-op-or-intern-a-a-2024-at-bdo-canada-3640237368?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=GiWOpsULPEseaeC915j4uw%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
UBC Internship 2024,Lifescience Dynamics Limited,"Vancouver, British Columbia, Canada",2023-06-22,"PLEASE NOTE: This job posting is for students on programmes at The University of British Columbia ONLY. Any applications outside of this scope will be automatically rejected.

We are currently seeking a self-motivated research analyst to join our growing team. In your role as a Junior Business Analyst you will be working with team member on topics of wide variety and significance to our pharma clients working at global headquarters. You will be expected to help with smooth running of current projects, contact external sources such as a range of industry stakeholders and key opinion leaders (KOLs) through telephone research and attendance of international medical congresses. As you move from one project to the next, you will be expected to quickly get up to speed with a new therapy area.


Integral and key member of client engagement team, committed to developing and delivering executable project outcomes to meet specific objectives of our global clients. Working proactively and collaboratively with numerous stakeholders, to ensure smooth running and delivery of multiple projects.",Internship,Internship,Education and Training,"Technology, Information and Internet",https://ca.linkedin.com/jobs/view/ubc-internship-2024-at-lifescience-dynamics-limited-3666177704?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=TB%2FJlMv3N7dxOKWJrSIkzA%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
Werkstudent / Praktikant im Bereich Entwicklung neuer Verbundwerkstoffe für Gleitelemente (m/w/d),Rheinmetall,"St Leon, British Columbia, Canada",2023-07-11,"WOFÜR WIR SIE SUCHEN

Entwicklung der nächsten Generation Verbundwerkstoff-Gleitlager auf Basis thermoplastischer Kunststoffe
Beschichtung von metallischen Werkstoffen, Gleitschichten auf Basis von Pulver-, Dispersions- und Folientechnologie

WAS SIE MITBRINGEN SOLLTEN


WAS WIR IHNEN BIETEN

Als Student (m/w/d) oder Absolvent (m/w/d) im Bereich Engineering finden Sie bei Rheinmetall ein kreatives und dynamisches Arbeitsumfeld, welches von Innovationen geprägt ist. Zudem erwarten Sie ein freundliches Betriebsklima und motivierte Kolleginnen und Kollegen, mit denen Sie an herausfordernden Aufgaben rund um spannende und außergewöhnliche Produkte für die Sicherheit und Mobilität von morgen arbeiten.

An unserem Standort in St. Leon-Rot bieten wir Ihnen:


KONTAKTDETAILS

Zuständige/r Ansprechpartner/in: Ann-Kathrin Wollitzer

Für Fragen zu Ihrer Bewerbung, nutzen Sie bitte das Kontaktformular.",Internship,Internship,Administrative,Defense and Space Manufacturing,https://ca.linkedin.com/jobs/view/werkstudent-praktikant-im-bereich-entwicklung-neuer-verbundwerkstoffe-f%C3%BCr-gleitelemente-m-w-d-at-rheinmetall-3685278583?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=hitFPm6%2BzwuLM1W%2BWaRRCA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
2024 Sales Engineer Intern - Service,Trane Technologies,"Burnaby, British Columbia, Canada",2023-08-07,"At Trane TechnologiesTM and through our businesses including Trane® and Thermo King®, we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.


Trane Technologies’, the global leader in innovative climate solutions, hands on summer internship allows participants to explore a career in Sales Engineering through the following:



Our award-winning internship program provides you the opportunity to learn more about us while you collaborate with peers across North America. As a Sales Engineer Intern you may experience or gain exposure to:





We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.",Internship,Full-time,Sales and Business Development,Industrial Machinery Manufacturing,https://ca.linkedin.com/jobs/view/2024-sales-engineer-intern-service-at-trane-technologies-3703192063?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=BbhA8RqyCd%2Ft0vQIeYSZzQ%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Volunteer: Environmental Multimedia Internship in Peru,Global Nomadic,"Vancouver, British Columbia, Canada",2023-08-26,"Location: Peruvian Amazon, Cuzco region

Duration: 3 months

Start Dates: TBC

: $4,750 USD

Includes: all food, accommodation, airport pickup, orientation and all project related activities

Does not Include: Flights, travel insurance, visas and vaccinations



Introduction

This internship set in the heart of the Peruvian Amazon offers you the opportunity to actively participate in . We offer a career development programme designed to provide you with a deeper level of engagement in not-for-profit conservation work where you will gain extensive practical experience in field techniques and leadership skills, enabling you to effectively advance your career and ability to make a difference. You will be immersed in a which is delivered via and numerous . We focus also on the which will prove immensely valuable when you go on to and further your career.

Founded in 2002, our Foundation has worked to establish sustainable practices throughout the Amazon. True sustainability encompasses all areas of life in the rainforest people, plants and wildlife. We take a which values ; we look at real issues faced by local people and try to develop practical, sustainable alternatives. We envision a sustainable Amazon where education and learning is the forefront for driving understanding and change. The Amazon is under constant threat from many processes that cause habitat destruction such as logging, agriculture and mining. Our sustainable initiative projects provide alternative forms of income that can help protect the rainforest as well as give people a livelihood. This means that we help protect one of the most biodiverse places in the world, preventing the extinction of species, and other associated effects of rainforest destruction, such as climate change

Our Multimedia Internship offers you the experience to develop your skills providing in the heart of the rainforest. This internship is designed to help you further your career and give an in-depth insight into , while providing and in multimedia skills - from writing and marketing to photography and filmmaking.

Daily Life

At the start of your three month internship, you will travel to the Reserve. This is where you will learn about the challenges and solutions to protecting the rainforest by working alongside scientists and conservationists.

While gaining these invaluable insights, you will be trained by a professional who will teach you to tell compelling environmental stories through written, photographic and film media.

This internship programme has been created to help school leavers, recent graduates and career breakers in environmental communications through hands-on expert training. By the end of the internship, you will have a that will showcase your written, photographic and video skills to future employers.

Beyond the career development, we have designed the Multimedia Internship programme to give you a truly , based at our research and educational hub, the Manu Learning Centre. You will stay in jungle lodges and have up-close wildlife encounters, while living and working with a team of like-minded people united in our passion to create a sustainable Amazon, where nature and people thrive.

all information above is subject to change. Please check the most up to date information on the Global Nomadic website when applying. COVID-19 restrictions may still apply.",Entry level,Volunteer,"Writing/Editing, Art/Creative, and Design","Advertising Services, Media Production, and Online Media",https://ca.linkedin.com/jobs/view/volunteer-environmental-multimedia-internship-in-peru-at-global-nomadic-2227912108?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=Hl%2BYLkHqvgzrtPXNrwMrRw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
2024 Sales Engineer Intern - Controls,Trane Technologies,"Burnaby, British Columbia, Canada",2023-08-07,"At Trane TechnologiesTM and through our businesses including Trane® and Thermo King®, we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.


Trane Technologies’, the global leader in innovative climate solutions, hands on summer internship allows participants to explore a career in Sales Engineering through the following:



Our award-winning internship program provides you the opportunity to learn more about us while you collaborate with peers across North America. As a Sales Engineer Intern you may experience or gain exposure to:






We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.

We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.",Internship,Full-time,Sales and Business Development,Industrial Machinery Manufacturing,https://ca.linkedin.com/jobs/view/2024-sales-engineer-intern-controls-at-trane-technologies-3703189560?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=mIOviMCKY0dC5Xa6VvrnCQ%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
2024 Sales Engineer Intern - Equipment,Trane Technologies,"Victoria, British Columbia, Canada",2023-08-07,"At Trane TechnologiesTM and through our businesses including Trane® and Thermo King®, we create innovative climate solutions for buildings, homes, and transportation that challenge what’s possible for a sustainable world. We're a team that dares to look at the world's challenges and see impactful possibilities. We believe in a better future when we uplift others and enable our people to thrive at work and at home. We boldly go.


Trane Technologies’, the global leader in innovative climate solutions, hands on summer internship allows participants to explore a career in Sales Engineering through the following:



Our award-winning internship program provides you the opportunity to learn more about us while you collaborate with peers across North America. As a Sales Engineer Intern you may experience or gain exposure to:






We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.

We offer competitive compensation and comprehensive benefits and programs. We are an equal opportunity employer; all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, pregnancy, age, marital status, disability, status as a protected veteran, or any legally protected status.",Internship,Full-time,Sales and Business Development,Industrial Machinery Manufacturing,https://ca.linkedin.com/jobs/view/2024-sales-engineer-intern-equipment-at-trane-technologies-3703188483?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=pSKRJ5x2d%2FFYblPCM15ICw%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
Volunteer: Fiji + Thailand: PADI Divemaster Internship,Global Nomadic,"Vancouver, British Columbia, Canada",2023-08-25,"Location: Caqalai Island, Fiji + Pha Ngai, Thailand

Duration: 24 weeks commitment

Start Dates: This project is ongoing and you can join whenever suits you best, depending upon availability.

: 6,485 GBP for 24 weeks

Fee Includes: all food, accommodation, pre-departure + in-country support, orientation and all project related activities

Does not Include: flights, airport pickup, travel insurance, personal spending, visas and vaccinations

This opportunity is designed to give you the contacts and experience to help further your career. You are not replacing any member of staff, but helping alongside them, whilst learning new skills.



Introduction

Begin your Diving career and travel the world by earning your PADI Divemaster qualification with us. First, you will journey to the tiny Fijian island of Caqalai to start your theoretical and practical training. Here you will also earn your PADI Coral Reef Researcher Speciality, exclusive to our marine conservation programs. This will allow you to assist the permanent team stationed on the island with long-term locally led ocean conservation efforts aligned to United Nations Sustainable Development Goal #14, Life Below Water.

Afterwards you will join a dive centre in Thailand as a junior staff member (student intern) for 3 months, where you will perfect your skills as a recreational dive leader. The internship is designed to give you an intensive and comprehensive introduction to professional diving with the opportunity to experience two of the worlds most popular diving locations.

Daily Life



Marine conservation interns will be trained in the identification of invertebrate, fish or benthic (coral) target species and life forms. Once fully trained in species ID, volunteers will be taught several survey techniques allowing them to become a member of the data collection survey team building an inventory of marine species in Moturiki waters.

Once Interns are making progress on their science training they will get the chance to work on important community projects in local villages working to improve water, sanitation and hygiene as well as the opportunity to teach children about environmental conservation during rotating weekly school visits on Moturiki Island.

Marine Conservation interns will be spending time getting to know the local community and their traditional villages.

The interns will spend 3 months on the marine conservation expedition gaining their PADI Open Water, Advanced Open Water, Rescue Diver, Emergency First Responder and Coral Reef Research Diver certifications , complete the Leadership Training Course and internship assignments followed . Weekly assignments must be completed and there will be weekly 1-on-1 meetings with a staff mentor

Once you have successfully completed the first three months of training in Fiji, you will travel to a dive centre in Southern Thailand.

Here you will learn what the business of running diving tours is really like, under the guidance of a professional diving team.

Gain experience working with clients by leading a dive in preparation for your final PADI Divemaster assessment.

Survey Training: The best way for you to improve and assess participants fish, invertebrate and benthic life-form knowledge, is to use a variety of teaching methods. In Caqalai, this incorporates slideshow presentations, fun workshops (fish bingo anyone?) and most importantly, what we call spot dives +amp; snorkels. Once basic dive training is completed at the beginning of the expedition, each diving day you will participate in one to two spot dives or snorkels.

all information above is subject to change. Please check the most up to date information on the Global Nomadic website when applying.",Entry level,Volunteer,"Research, Training, and Science",Environmental Services and International Trade and Development,https://ca.linkedin.com/jobs/view/volunteer-fiji-%2B-thailand-padi-divemaster-internship-at-global-nomadic-2227903979?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=AnycztM1IHg6g8iEh74X2g%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
Outside Sales Internship - Summer 2024,Uline,"Vancouver, British Columbia, Canada",2023-08-30,"Outside Sales Internship

Paid Internship - Summer 2024

Vancouver, British Columbia


Are you a college student looking to launch your sales career? Then you belong at Uline! As an Outside Sales Intern, you’ll spend your summer working side-by-side with an incredible team supported by the best training, tools and products to win in the field every day. Uline continues to grow, creating new career opportunities and job stability you can count on. It’s an exciting time to join Uline!








Uline is North America's leading distributor of shipping, industrial and packaging materials. We're a family-owned company known for incredible service, quality products and same-day shipping of our huge in-stock inventory. With over 9,000 employees across 13 branch locations and 15 sales offices, it's time you joined Uline.

Uline is proud to operate as a drug-free workplace.

Uline is an Equal Opportunity Employer

(#IN-EDMIN)

Our employees make the difference and we are committed to offering exceptional benefits and perks! Explore Uline.jobs to learn more!",Not Applicable,Full-time,Sales and Business Development,"Advertising Services, Packaging and Containers Manufacturing, and Retail Office Equipment",https://ca.linkedin.com/jobs/view/outside-sales-internship-summer-2024-at-uline-3708449118?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=NnFjvyT1A1of6qtC10FtVA%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
Volunteer: Science + Engineering Internship in Bangkok,Global Nomadic,"Vancouver, British Columbia, Canada",2023-08-23,,,,,,https://ca.linkedin.com/jobs/view/volunteer-science-%2B-engineering-internship-in-bangkok-at-global-nomadic-529212397?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=zGy45Ci3xWhY2SQh9au81g%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Veterinary Extern - Emergency,Ethos Veterinary Health,"Kelowna, British Columbia, Canada",2023-08-30,"Fairfield Animal Hospital is the only 24-hour emergency animal hospital in the BC Southern Interior. We are open 24 hours a day, 7 days a week, including all holidays. We do not book routine appointments such as vaccine updates, spays or neuters; we operate solely on an emergency triage basis.

We currently utilize Ultrasound (Afast/Tfast), CT, Digital radiography and in-house lab (including blood gases, coag panels) for the majority of our diagnostics. Our technical team is highly skilled and motivated, the majority of the team is trained in Recover CPR and teamwork is our focus.

An externship experience at an NVA Emergency Hospital gives students real-life clinical experience in an emergency and critical care setting, and the opportunity to apply their knowledge and skills while working alongside experienced clinicians, criticalists (site dependent), and/or current interns and residents. Hands-on skills that may be practiced or observed include TPR’s, examinations, anesthesia, surgical procedures, catheterization, ultrasound, and other diagnostic procedures as available.

Most externship experiences range from two to eight weeks depending on student and hospital schedules. Externships at are offered to 3rd and 4th year veterinary students.",Internship,Full-time,Education and Training,Veterinary Services,https://ca.linkedin.com/jobs/view/veterinary-extern-emergency-at-ethos-veterinary-health-3708452301?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=LQj6mBX7rNdzfhaU596QDQ%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
Hearing Instrument Specialist -Licensed or Trainee,Beltone,"Comox, British Columbia, Canada",2023-08-19,"Hearing Instrument Practitioner – Comox, British Columbia

Job Summary

Are you a Hearing Instrument Practitioner seeking an opportunity for growth? Then join an industry leader who has been offering award-winning technology and unsurpassed patient care for over 80 years. Beltone Hearing Care is seeking a dynamic Hearing Instrument Practitioner to join our team on beautiful Vancouver Island!

The focus of this role is to provide audiology services and assessments, treatment options, and exceptional patient care. This opportunity is in a well-established practice with a long-term loyal patient following in the community!",Not Applicable,Full-time,Health Care Provider,"Appliances, Electrical, and Electronics Manufacturing and Medical Equipment Manufacturing",https://ca.linkedin.com/jobs/view/hearing-instrument-specialist-licensed-or-trainee-at-beltone-3611716704?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=4NzPuMuyMUOChYEacAyySA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
Veterinary Extern - General Practice,NVA Canada,"Squamish, British Columbia, Canada",2023-08-25,"An externship experience at an NVA hospital will give students the unique opportunity to understand the day-to-day operations of the practice, and to gain valuable hands-on clinical experience. Although every NVA hospital is unique, we all have some things in common: an environment that is supportive, committed to excellent medicine, and provides exceptional service to animals and the people who love them.

Students will work closely with the supervising Associate Veterinarians to gain experience in gathering patient histories, performing physical exams, creation of treatment plans, diagnostics, dentistry services, observing/assisting or performing surgical procedures, and medical management of patients. In addition to practicing their clinical skills, student externs will have the opportunity to practice their communication skills with the medical team, support staff, and clients.

Most externship experiences range from two to eight weeks depending on student and hospital schedules. All Veterinary students (regardless of class year) are encouraged to participate in NVA externships.

Veterinary students who are in the clinical portion of their education are eligible for a travel/living expense stipend. Click HERE to view list of stipend amounts and HERE for details on the stipend program.",Internship,Full-time,Education and Training,Veterinary Services,https://ca.linkedin.com/jobs/view/veterinary-extern-general-practice-at-nva-canada-3158108515?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=0Bz9OkcT4hWfBoI51mtQ8Q%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Veterinary Extern - General Practice,NVA Canada,"Kelowna, British Columbia, Canada",2023-08-26,"An externship experience at an NVA hospital will give students the unique opportunity to understand the day-to-day operations of the practice, and to gain valuable hands-on clinical experience. Although every NVA hospital is unique, we all have some things in common: an environment that is supportive, committed to excellent medicine, and provides exceptional service to animals and the people who love them.

Our hospital takes on orthopedic, all varieties of soft tissue, and reproductive cases.

Students will work closely with the supervising veterinarian to gain experience in gathering patient histories, performing physical exams, creation of treatment plans, diagnostics, dentistry services, observing/assisting or performing surgical procedures, and medical management of patients. In addition to practicing their clinical skills, student externs will have the opportunity to practice their communication skills with the medical team, support staff, and clients.

Most externship experiences at range from two to eight weeks depending on student and hospital schedules. All veterinary students (regardless of class year) are encouraged to participate in NVA externships.

Veterinary students who are in the clinical portion of their education are eligible for a travel/living expense stipend. Click HERE to view list of stipend amounts and HERE for details on the stipend program.",Internship,Full-time,Education and Training,Veterinary Services,https://ca.linkedin.com/jobs/view/veterinary-extern-general-practice-at-nva-canada-3516787513?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=DhVi%2F8cUaMX%2BzDzGxotKBw%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Veterinary Extern - General Practice,NVA Canada,"Kamloops, British Columbia, Canada",2023-08-26,"An externship experience at an NVA hospital will give students the unique opportunity to understand the day-to-day operations of the practice, and to gain valuable hands-on clinical experience. Although every NVA hospital is unique, we all have some things in common: an environment that is supportive, committed to excellent medicine, and provides exceptional service to animals and the people who love them.

Students will work closely with the supervising Associate Veterinarians to gain experience in gathering patient histories, performing physical exams, creation of treatment plans, diagnostics, dentistry services, observing/assisting or performing surgical procedures, and medical management of patients. In addition to practicing their clinical skills, student externs will have the opportunity to practice their communication skills with the medical team, support staff, and clients.

Most externship experiences range from two to eight weeks depending on student and hospital schedules. Externships at are designed for 3rd and 4th year students.

Veterinary students who are in the clinical portion of their education are eligible for a travel/living expense stipend. Click HERE to view list of stipend amounts and HERE for details on the stipend program.",Internship,Full-time,Education and Training,Veterinary Services,https://ca.linkedin.com/jobs/view/veterinary-extern-general-practice-at-nva-canada-3158104729?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=yGRHSyjy40FQtkxLaW%2FSYg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Volunteer: Conservation Education and Research Assistantship in Costa Rica,Global Nomadic,"Vancouver, British Columbia, Canada",2023-08-27,,,,,,https://ca.linkedin.com/jobs/view/volunteer-conservation-education-and-research-assistantship-in-costa-rica-at-global-nomadic-2227907764?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=RLgtfIeLFwvW%2BUwO4eGwaA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
Volunteer: Anti Rhino Poaching Project in South Africa,Global Nomadic,"Vancouver, British Columbia, Canada",2023-08-10,"Location: Limpopo, South Africa

Duration: 2-12 weeks commitment

Start Dates: This project is ongoing and you can join whenever suits you best, depending upon availability.

: from 1,585 GBP for 2 weeks.

Fee Includes: all food, accommodation, pre-departure + in-country support, orientation and all project related activities

Does not Include: flights, airport pickup, travel insurance, personal spending, visas and vaccinations

This opportunity is designed to give you the contacts and experience to help further your career. You are not replacing any member of staff, but helping alongside them, whilst learning new skills.



Introduction

South Africa is home to several species under threat, like the critically endangered black rhinoceros and near threatened white rhinoceros. Our international conservation team in Karongwe private nature reserve, only an hour from Kruger National Park, works toward conserving the species found in the protected area by partnering with local and international organisations like the South African National, SAN Parks authority and the Endangered Wildlife Trust.

This program gives volunteers the opportunity to learn about the global issue of poaching and how international and South African organisations are working on prevention. The focus specifically concerns the poaching of rhinoceros. Volunteers will attend lectures on the topic of poaching, the impact of losing important animals on the ecosystem, how anti-poaching efforts are set up and run which will be presented by a SAN Parks representative, and how fundraising initiatives are set up and run, as well as delivering environmental education workshops in the local community.

Daily Life

You will work closely with our Internship co-ordinator and attend anti-poaching awareness lectures. You will also assist with fundraising projects for rhino conservation.

It is important to note that you won't take part in anti-poaching patrols due to the dangerous nature of the activity. You should expect to get involved in other conservation activities, like the monitoring of predators, assisting with habitat rehabilitation in the local area, and conservation awareness at local schools.

Most weekdays will be spent going on a safari conservation drive through the protected are. Each volunteer is assigned to specific duty on each drive. This might include using the telemetry equipment to track lions, cheetahs, and other predators, capturing the data noted on the drive, navigating through the reserve, or checking and tidying the vehicle.

You will head out on 1-2 drives a day, master radio telemetry techniques and learn to track animals through the bush; get acquainted with big game and all the main predators, including lion, cheetah, leopard, elephant and rhino.

all information above is subject to change. Please check the most up to date information on the Global Nomadic website when applying.",Entry level,Volunteer,"Research, Training, and Science",Environmental Services and International Trade and Development,https://ca.linkedin.com/jobs/view/volunteer-anti-rhino-poaching-project-in-south-africa-at-global-nomadic-1344891633?refId=Hz56m3RFywCBFvW1HBk4Cw%3D%3D&trackingId=H3gOc8Dn7dp%2BkoZljzi2Nw%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
